smiles,submitter_name,ref_pdb,hit_names,ID,ROMol,name
Cc1nc(C(N)=O)ccc1NC(=O)Cc1csc(-c2cccc(Cl)c2)n1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_002587416927,<rdkit.Chem.rdchem.Mol object at 0x1754e8580>,horton_fegrow_elab_PV_002587416927
Cc1nc(C(N)=O)ccc1NC(=O)C(=O)N1CCC[C@H](N2CC(C)(C)C2)C1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_005785093884,<rdkit.Chem.rdchem.Mol object at 0x1754e87b0>,horton_fegrow_elab_PV_005785093884
Cc1nc(C(N)=O)ccc1NC(=O)C(=O)N1CC[C@]12CCCC(C)(C)C2,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_006138336038,<rdkit.Chem.rdchem.Mol object at 0x1754e8ba0>,horton_fegrow_elab_PV_006138336038
Cc1nc(C(N)=O)ccc1NC(=O)[C@@H]1CCc2[nH]nc(C(F)(F)F)c2C1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_005380951770,<rdkit.Chem.rdchem.Mol object at 0x1754e8ac0>,horton_fegrow_elab_PV_005380951770
Cc1nc(C(N)=O)ccc1NC(=O)[C@@H](N)Cc1cc(F)c(F)c(F)c1F,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_006953592007,<rdkit.Chem.rdchem.Mol object at 0x1754e89e0>,horton_fegrow_elab_PV_006953592007
COc1cccc(-c2nc(CC(=O)Nc3ccc(C(N)=O)nc3C)cs2)c1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_002339738638,<rdkit.Chem.rdchem.Mol object at 0x1754e8900>,horton_fegrow_elab_PV_002339738638
Cc1nc(C(N)=O)ccc1NC(=O)C(=O)N1CC[C@@H]2CCCCC[C@@H]2C1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_005434828557,<rdkit.Chem.rdchem.Mol object at 0x1754e8820>,horton_fegrow_elab_PV_005434828557
Cc1nc(C(N)=O)ccc1NC(=O)C(=O)N1CCOC2(CCSCC2)CC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_005174136580,<rdkit.Chem.rdchem.Mol object at 0x1754e8c10>,horton_fegrow_elab_PV_005174136580
Cc1nc(C(N)=O)ccc1NC(=O)[C@@H]1CCCN(Cc2cccc(F)c2)C1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",Z2963611444,<rdkit.Chem.rdchem.Mol object at 0x1754e8cf0>,horton_fegrow_elab_Z2963611444
Cc1nc(C(N)=O)ccc1N1C(=O)N[C@@H](Cc2cc(Cl)cc(Cl)c2)C1=O,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_005860342613,<rdkit.Chem.rdchem.Mol object at 0x1754e8430>,horton_fegrow_elab_PV_005860342613
Cc1nc(C(N)=O)ccc1NC(=O)C(=O)N1CCC[C@H](CN(C)C(C)C)C1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_005098896000,<rdkit.Chem.rdchem.Mol object at 0x1754e8350>,horton_fegrow_elab_PV_005098896000
Cc1nc(C(N)=O)ccc1NC(=O)Cc1csc(-c2cccc(F)c2)n1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_002245039022,<rdkit.Chem.rdchem.Mol object at 0x1754e8e40>,horton_fegrow_elab_PV_002245039022
Cc1nc(C(N)=O)ccc1NC(=O)C(=O)N1CCc2ccccc2[C@@H](C)C1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_005424219743,<rdkit.Chem.rdchem.Mol object at 0x1754e8f90>,horton_fegrow_elab_PV_005424219743
Cc1nc(C(N)=O)ccc1NC(=O)C(F)(F)n1cc(-c2ccccc2)nn1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_002449833065,<rdkit.Chem.rdchem.Mol object at 0x1754e8510>,horton_fegrow_elab_PV_002449833065
Cc1nc(C(N)=O)ccc1NC(=O)Cc1csc(CCC(F)(F)F)n1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",Z2963612941,<rdkit.Chem.rdchem.Mol object at 0x1754e8040>,horton_fegrow_elab_Z2963612941
Cc1nc(C(N)=O)ccc1NC(=O)Cc1nc(-c2cccs2)oc1C,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_002186254190,<rdkit.Chem.rdchem.Mol object at 0x1754e8120>,horton_fegrow_elab_PV_002186254190
Cc1ccc([C@H]2CCN(C(=O)C(=O)Nc3ccc(C(N)=O)nc3C)C2)c(C)c1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_004779575768,<rdkit.Chem.rdchem.Mol object at 0x1754e8190>,horton_fegrow_elab_PV_004779575768
Cc1nc(C(N)=O)ccc1NC(=O)COc1ccc(Cl)c2cccnc12,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_002452193392,<rdkit.Chem.rdchem.Mol object at 0x1754e8200>,horton_fegrow_elab_PV_002452193392
Cc1nc(C(N)=O)ccc1NC(=O)COc1cccc2c1OC(C)(C)C2,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_002349966746,<rdkit.Chem.rdchem.Mol object at 0x1754e0270>,horton_fegrow_elab_PV_002349966746
Cc1nc(C(N)=O)ccc1NC(=O)Cc1ccc2oc3ccccc3c2c1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_003186466265,<rdkit.Chem.rdchem.Mol object at 0x1754e00b0>,horton_fegrow_elab_PV_003186466265
Cc1nc(C(N)=O)ccc1NC(=O)Cn1cnc2c(C)cccc2c1=O,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_002581766471,<rdkit.Chem.rdchem.Mol object at 0x1754e0a50>,horton_fegrow_elab_PV_002581766471
