smiles,submitter_name,ref_pdb,hit_names,ID,ROMol,name
CCc1n[nH]c(NC(=O)C2(c3cccc(Br)c3)CCOCC2)n1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1616628599,<rdkit.Chem.rdchem.Mol object at 0x1754f1eb0>,horton_fegrow_prime_elab_Z1616628599
Cc1nc(NC(=O)C2(c3cccc(Cl)c3)CCOCC2)[nH]c1C,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2027166094,<rdkit.Chem.rdchem.Mol object at 0x17591e7b0>,horton_fegrow_prime_elab_Z2027166094
C[C@H]1CN=C(NC(=O)C2(c3cccc(Cl)c3)CCOCC2)S1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2408303900,<rdkit.Chem.rdchem.Mol object at 0x17591ec10>,horton_fegrow_prime_elab_Z2408303900
O=C(CC1CC1)NNC(=O)C1(c2cccc(Cl)c2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2232558350,<rdkit.Chem.rdchem.Mol object at 0x17591e5f0>,horton_fegrow_prime_elab_Z2232558350
C[C@H](NC(=O)C1(c2cccc(Br)c2)CCOCC1)c1nn[nH]n1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z4220229170,<rdkit.Chem.rdchem.Mol object at 0x17591ef20>,horton_fegrow_prime_elab_Z4220229170
O=C(N[C@H]1CC=CCC1)C1(c2ccc(F)cc2F)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1533711781,<rdkit.Chem.rdchem.Mol object at 0x17591e740>,horton_fegrow_prime_elab_Z1533711781
Cc1ccc(C2(C(=O)NC3=NOC(C)(C)C3)CCOCC2)cc1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z4465140588,<rdkit.Chem.rdchem.Mol object at 0x1754f1e40>,horton_fegrow_prime_elab_Z4465140588
O=C(N[C@H]1CC=CCC1)C1(c2ccc(F)cc2F)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z4465810215,<rdkit.Chem.rdchem.Mol object at 0x17591e510>,horton_fegrow_prime_elab_Z4465810215
O=C(NC[C@H]1CCCS1)C1(c2ccc(Cl)cc2Cl)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1401330811,<rdkit.Chem.rdchem.Mol object at 0x17591e820>,horton_fegrow_prime_elab_Z1401330811
CCNC(=O)NNC(=O)C1(c2ccc(Cl)cc2Cl)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z855331078,<rdkit.Chem.rdchem.Mol object at 0x17591ee40>,horton_fegrow_prime_elab_Z855331078
CCc1n[nH]c(NC(=O)C2(c3cccc(F)c3)CCOCC2)n1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1435986965,<rdkit.Chem.rdchem.Mol object at 0x17591e890>,horton_fegrow_prime_elab_Z1435986965
O=C(NCCc1nc[nH]c1Br)C1(c2ccccc2)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3583699977,<rdkit.Chem.rdchem.Mol object at 0x17591ec80>,horton_fegrow_prime_elab_Z3583699977
