smiles,submitter_name,ref_pdb,hit_names,ID,ROMol,name
O=C(Nc1cccc2nc(Cl)ccc12)C1(c2ccc(-c3nn[nH]n3)cc2)CC1,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_006984519164,<rdkit.Chem.rdchem.Mol object at 0x1754e8660>,horton_fegrow_quin_elab_PV_006984519164
O=C(Cc1n[nH]c(C2CC2)n1)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_002291348500,<rdkit.Chem.rdchem.Mol object at 0x1754ecc10>,horton_fegrow_quin_elab_PV_002291348500
O=C(CN1C(=O)NC2(CCCCC2)C1=O)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_002551877632,<rdkit.Chem.rdchem.Mol object at 0x1754ecac0>,horton_fegrow_quin_elab_PV_002551877632
Cc1c(CC(=O)Nc2cccc3nc(Cl)ccc23)nnn1-c1ccccc1,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_002304784911,<rdkit.Chem.rdchem.Mol object at 0x1754eceb0>,horton_fegrow_quin_elab_PV_002304784911
CO[C@@H]1CNC[C@H]1c1cn(CC(=O)Nc2cccc3nc(Cl)ccc23)nn1,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",Z3143281284,<rdkit.Chem.rdchem.Mol object at 0x1754ecb30>,horton_fegrow_quin_elab_Z3143281284
O=C(Cc1nnc(-c2ccncc2)[nH]1)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_007152355318,<rdkit.Chem.rdchem.Mol object at 0x1754ecba0>,horton_fegrow_quin_elab_PV_007152355318
Cn1c(CC(=O)Nc2cccc3nc(Cl)ccc23)nnc1-c1ccccc1,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_002294217630,<rdkit.Chem.rdchem.Mol object at 0x1754eccf0>,horton_fegrow_quin_elab_PV_002294217630
O=C(Nc1cccc2nc(Cl)ccc12)[C@H](Cc1nn[nH]n1)c1ccccn1,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_007011194285,<rdkit.Chem.rdchem.Mol object at 0x1754f1740>,horton_fegrow_quin_elab_PV_007011194285
O=C(Cn1cc(C2CCC2)nn1)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",Z5515280729,<rdkit.Chem.rdchem.Mol object at 0x1754f1d60>,horton_fegrow_quin_elab_Z5515280729
CC(C)(C(=O)Nc1cccc2nc(Cl)ccc12)C1CCS(=O)(=O)CC1,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",Z4664439503,<rdkit.Chem.rdchem.Mol object at 0x1754f1660>,horton_fegrow_quin_elab_Z4664439503
