smiles,submitter_name,ref_pdb,hit_names,ID,ROMol,name
O=C1C(=Cc2ccccc2)CCc2ccccc21,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z46049229,<rdkit.Chem.rdchem.Mol object at 0x1754aed60>,janke_silvr_Z46049229
Cc1nnc(-c2cccc3ccccc23)s1,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",PV_002783756993,<rdkit.Chem.rdchem.Mol object at 0x1754aee40>,janke_silvr_PV_002783756993
Cc1cc(-c2cccnc2)nc2ccccc12,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",PV_002968267850,<rdkit.Chem.rdchem.Mol object at 0x1754aef90>,janke_silvr_PV_002968267850
CCn1c(-c2ccc(I)o2)nc2cc(F)ccc21,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z637723732,<rdkit.Chem.rdchem.Mol object at 0x1754b9120>,janke_silvr_Z637723732
CCn1c(-c2ccc(I)o2)nc2c(F)cccc21,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z637739812,<rdkit.Chem.rdchem.Mol object at 0x1754b9d60>,janke_silvr_Z637739812
O=C(Nc1cccc2ccncc12)c1ccc(Cl)s1,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z1391760839,<rdkit.Chem.rdchem.Mol object at 0x1754b9e40>,janke_silvr_Z1391760839
Ic1ccccc1-c1nc2ccccc2[nH]1,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z50129832,<rdkit.Chem.rdchem.Mol object at 0x1754b97b0>,janke_silvr_Z50129832
N#Cc1ccccc1-c1cc2ccccc2[nH]1,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",PV_002747934354,<rdkit.Chem.rdchem.Mol object at 0x1754b9740>,janke_silvr_PV_002747934354
O=C1CN(C(=O)c2cccs2)c2ccccc2N1,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z33398166,<rdkit.Chem.rdchem.Mol object at 0x1754b9660>,janke_silvr_Z33398166
Cc1cc(NC(=O)c2ccco2)nc2ccccc12,Janke Scheen,x0554_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",PV_003024342714,<rdkit.Chem.rdchem.Mol object at 0x1754b9ba0>,janke_silvr_PV_003024342714
