smiles,submitter_name,ref_pdb,hit_names,ID,ROMol,name
C[C@@H]1C(=O)N(CC(=O)Nc2cccc3nc(Cl)ccc23)C(=O)[C@@H]1C,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",Z3629097851,<rdkit.Chem.rdchem.Mol object at 0x175901a50>,horton_fegrow_quin_elab_Z3629097851
O=C(CN1C(=O)[C@H]2CC=CC[C@H]2C1=O)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",Z3091962522,<rdkit.Chem.rdchem.Mol object at 0x1754f1a50>,horton_fegrow_quin_elab_Z3091962522
O=C(CN1C(=O)[C@H]2CC=CC[C@H]2C1=O)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",Z3091962942,<rdkit.Chem.rdchem.Mol object at 0x1754f19e0>,horton_fegrow_quin_elab_Z3091962942
C[C@@H]1C(=O)N(CC(=O)Nc2cccc3nc(Cl)ccc23)C(=O)[C@@H]1C,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",Z3584328879,<rdkit.Chem.rdchem.Mol object at 0x175901ba0>,horton_fegrow_quin_elab_Z3584328879
O=C(N[C@H]1CC=CCC1)C1(c2ccc(F)cc2F)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1533711781,<rdkit.Chem.rdchem.Mol object at 0x17591e740>,horton_fegrow_prime_elab_Z1533711781
C[C@@H](CC1CC1)NC(=O)C1(c2ccc(F)cc2F)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z1533686820,<rdkit.Chem.rdchem.Mol object at 0x1754f2510>,horton_fegrow_prime_elab_Z1533686820
O=C(N[C@H]1CC=CCC1)C1(c2ccc(F)cc2F)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z4465810215,<rdkit.Chem.rdchem.Mol object at 0x17591e510>,horton_fegrow_prime_elab_Z4465810215
C[C@H](C(=O)Nc1cccc2nc(Cl)ccc12)N1C(=O)c2ccccc2C1=O,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_002342100894,<rdkit.Chem.rdchem.Mol object at 0x175909350>,horton_fegrow_quin_elab_PV_002342100894
Cc1ccc(C2(C(=O)N[C@@H]3CCCC[C@@H]3O)CCOCC2)cc1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z2803920189,<rdkit.Chem.rdchem.Mol object at 0x17591b5f0>,horton_fegrow_prime_elab_Z2803920189
C[C@H](C(=O)Nc1cccc2nc(Cl)ccc12)N1C(=O)c2ccccc2C1=O,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_002290349863,<rdkit.Chem.rdchem.Mol object at 0x175909900>,horton_fegrow_quin_elab_PV_002290349863
O=C(N[C@@H]1CC=CCC1)C1(c2ccc(F)cc2F)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z4201009730,<rdkit.Chem.rdchem.Mol object at 0x17591edd0>,horton_fegrow_prime_elab_Z4201009730
C[C@@H](CC1CC1)NC(=O)C1(c2ccc(F)cc2F)CCOCC1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3206971508,<rdkit.Chem.rdchem.Mol object at 0x1754f2820>,horton_fegrow_prime_elab_Z3206971508
Cc1ccc(C2(C(=O)N[C@@H]3CCCC[C@@H]3O)CCOCC2)cc1,JTHorton/DJCole,x0554_0A,"x0310_0A,x0566_0A",Z3712613830,<rdkit.Chem.rdchem.Mol object at 0x17591b350>,horton_fegrow_prime_elab_Z3712613830
Cc1nc(C(N)=O)ccc1N1C(=O)N[C@@H](Cc2ccc(F)c(Cl)c2)C1=O,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_004336823406,<rdkit.Chem.rdchem.Mol object at 0x1754ea2e0>,horton_fegrow_elab_PV_004336823406
CC(C)(C)OC(=O)N1CC[C@H]1C(=O)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_007165548033,<rdkit.Chem.rdchem.Mol object at 0x1754f52e0>,horton_fegrow_quin_elab_PV_007165548033
Cc1nc(C(N)=O)ccc1N1C(=O)N[C@@H](Cc2ccc(F)c(Cl)c2)C1=O,JTHorton/DJCole,x0554_0A,"x0310_0A,x0556_0A",PV_006749586224,<rdkit.Chem.rdchem.Mol object at 0x1754ea350>,horton_fegrow_elab_PV_006749586224
CC(C)(C)OC(=O)N1CC[C@H]1C(=O)Nc1cccc2nc(Cl)ccc12,JTHorton/DJCole,x0554_0A,"x0554_0A,x0566_0A",PV_002394205277,<rdkit.Chem.rdchem.Mol object at 0x1754f5430>,horton_fegrow_quin_elab_PV_002394205277
