smiles,submitter_name,ref_pdb,hit_names,ID,ROMol,name
CC(=O)Nc1ccc(F)c2ccccc12,Matteo Ferla,x0554_0A,x0554_0A x0451_0A,Z57189107,<rdkit.Chem.rdchem.Mol object at 0x1754425f0>,matteo_ferla_fragmen_clust_Z57189107
CC(=O)Nc1cc(C)c2ccccc2n1,Matteo Ferla,x0554_0A,x0451_0A x0554_0A,Z1509204059,<rdkit.Chem.rdchem.Mol object at 0x175442cf0>,matteo_ferla_fragmen_clust_Z1509204059
N=C(N)NC(=O)[C@@H](N)c1ccccc1,Matteo Ferla,x0554_0A,x0566_0A,PV_006093142965,<rdkit.Chem.rdchem.Mol object at 0x175442d60>,matteo_ferla_fragmen_clust_PV_006093142965
Cc1ccc2ccccc2c1NC(N)=O,Matteo Ferla,x0554_0A,x0554_0A x0451_0A,Z1426819182,<rdkit.Chem.rdchem.Mol object at 0x175442740>,matteo_ferla_fragmen_clust_Z1426819182
Cc1nc(-c2cn(C)c3ccccc23)nn1C,Matteo Ferla,x0554_0A,x0451_0A,PV_002910358312,<rdkit.Chem.rdchem.Mol object at 0x175442ba0>,matteo_ferla_fragmen_clust_PV_002910358312
Cc1cnc(Cl)c(OCC(=O)C(C)(C)C)c1,Matteo Ferla,x0554_0A,x0416_0A,Z3514569097,<rdkit.Chem.rdchem.Mol object at 0x175442c10>,matteo_ferla_fragmen_clust_Z3514569097
Cc1cc(CNC(=O)[C@H](C)N)cnc1Cl,Matteo Ferla,x0554_0A,x0416_0A,Z3521588488,<rdkit.Chem.rdchem.Mol object at 0x175442c80>,matteo_ferla_fragmen_clust_Z3521588488
CCn1cc(C(=O)OC)c2ccccc21,Matteo Ferla,x0554_0A,x0451_0A x0451_0A,Z210104396,<rdkit.Chem.rdchem.Mol object at 0x1754426d0>,matteo_ferla_fragmen_clust_Z210104396
CNC(=O)c1cccc2c(Cl)c(Cl)sc12,Matteo Ferla,x0554_0A,x0566_0A x0556_0A,PV_002906443867,<rdkit.Chem.rdchem.Mol object at 0x1754427b0>,matteo_ferla_fragmen_clust_PV_002906443867
COc1ccccc1C1(NC(=O)C(C)N)CCOCC1,Matteo Ferla,x0554_0A,x0554_0A,Z4005719641,<rdkit.Chem.rdchem.Mol object at 0x175442820>,matteo_ferla_fragmen_clust_Z4005719641
CCC(=O)Nc1cccc2ccccc12,Matteo Ferla,x0554_0A,x0554_0A x0451_0A,Z28155836,<rdkit.Chem.rdchem.Mol object at 0x175442580>,matteo_ferla_fragmen_clust_Z28155836
CN(C(=O)c1cn(C)c2ccccc12)C(C)(C)C,Matteo Ferla,x0554_0A,x0451_0A,Z2458092266,<rdkit.Chem.rdchem.Mol object at 0x175442970>,matteo_ferla_fragmen_clust_Z2458092266
Cc1ccc(C)c(NC(N)=O)c1,Matteo Ferla,x0554_0A,x0554_0A x0310_0A,Z56754686,<rdkit.Chem.rdchem.Mol object at 0x175442f90>,matteo_ferla_fragmen_clust_Z56754686
CC(C)NC(=O)c1c(N)cnn1C,Matteo Ferla,x0554_0A,x0556_0A x0451_0A,Z3018949571,<rdkit.Chem.rdchem.Mol object at 0x175442a50>,matteo_ferla_fragmen_clust_Z3018949571
CC(=O)NNC(=O)C1CCCN1c1ccccc1,Matteo Ferla,x0554_0A,x0554_0A,Z1904258091,<rdkit.Chem.rdchem.Mol object at 0x175442ac0>,matteo_ferla_fragmen_clust_Z1904258091
Cc1cc(CN=C2NCC(C)N2)n(C)n1,Matteo Ferla,x0554_0A,x0310_0A,PV_006164057954,<rdkit.Chem.rdchem.Mol object at 0x175442b30>,matteo_ferla_fragmen_clust_PV_006164057954
CN(NC(=O)c1cn(C)c2ccccc12)C(N)=O,Matteo Ferla,x0554_0A,x0451_0A,Z1616812139,<rdkit.Chem.rdchem.Mol object at 0x175442510>,matteo_ferla_fragmen_clust_Z1616812139
NNC(=O)[C@@H](N)c1ccccc1,Matteo Ferla,x0554_0A,x0566_0A,Z1262691367,<rdkit.Chem.rdchem.Mol object at 0x175442890>,matteo_ferla_fragmen_clust_Z1262691367
COC(=O)c1c(C)n(C)c2ccccc12,Matteo Ferla,x0554_0A,x0451_0A x0451_0A,Z3380162507,<rdkit.Chem.rdchem.Mol object at 0x175442040>,matteo_ferla_fragmen_clust_Z3380162507
CC(=O)NS(=O)(=O)c1cn(C)c2ccccc12,Matteo Ferla,x0554_0A,x0451_0A x0566_0A,Z1539143089,<rdkit.Chem.rdchem.Mol object at 0x175442120>,matteo_ferla_fragmen_clust_Z1539143089
Cc1cc(COC(=O)C=CC(C)C)n(C)n1,Matteo Ferla,x0554_0A,x0310_0A,Z1904034794,<rdkit.Chem.rdchem.Mol object at 0x175442190>,matteo_ferla_fragmen_clust_Z1904034794
CC(=O)Nc1cccc2ccc(O)cc12,Matteo Ferla,x0554_0A,x0554_0A x0451_0A,Z1483899480,<rdkit.Chem.rdchem.Mol object at 0x175442200>,matteo_ferla_fragmen_clust_Z1483899480
