smiles,submitter_name,ref_pdb,hit_names,ID,ROMol,name
O=C(CCl)NCC1(NC(=O)c2ccc(F)c3ccccc23)CCOCC1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z4425210748,<rdkit.Chem.rdchem.Mol object at 0x17512a6d0>,matteo_ferla_rocs_cov_Z4425210748
C=CC(=O)N1Cc2ccccc2OC(C)(C)C1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z2737383535,<rdkit.Chem.rdchem.Mol object at 0x17512ad60>,matteo_ferla_rocs_cov_Z2737383535
C=CC(=O)NC[C@H](NC(=O)c1ccc(F)c2ccsc12)C1CCCC1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z4425283220,<rdkit.Chem.rdchem.Mol object at 0x17512aa50>,matteo_ferla_rocs_cov_Z4425283220
Cc1c(NC(=O)c2c(NC(=O)CCl)sc3c2CCCC3)c(=O)n(-c2ccccc2)n1C,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z56893166,<rdkit.Chem.rdchem.Mol object at 0x1751beac0>,matteo_ferla_rocs_cov_Z56893166
COC(=O)[C@H]1Cc2ccccc2CN1C(=O)CCl,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z57984421,<rdkit.Chem.rdchem.Mol object at 0x1751bed60>,matteo_ferla_rocs_cov_Z57984421
C=CC(=O)N1CCCC[C@H]1c1ccc(C(=O)NC)n1C,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z2737383447,<rdkit.Chem.rdchem.Mol object at 0x1751bedd0>,matteo_ferla_rocs_cov_Z2737383447
CC(=O)NCc1cccc(C(=O)NC2(CNC(=O)CCl)CCCCC2)c1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z4425210965,<rdkit.Chem.rdchem.Mol object at 0x1751be740>,matteo_ferla_rocs_cov_Z4425210965
C=CC(=O)NCC1(NC(=O)c2ccc(F)c3ccccc23)CCOCC1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z4425282901,<rdkit.Chem.rdchem.Mol object at 0x1751bea50>,matteo_ferla_rocs_cov_Z4425282901
C=CC(=O)NCc1ccccc1C(=O)Nc1cc(C(=O)Nc2nc(C)cs2)ccc1OC,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z4899905008,<rdkit.Chem.rdchem.Mol object at 0x1751bec10>,matteo_ferla_rocs_cov_Z4899905008
C=CC(=O)N[C@@H](CNC(=O)c1cnn2cc(C)cnc12)c1ccc(C(C)C)cc1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z4425283730,<rdkit.Chem.rdchem.Mol object at 0x1751960b0>,matteo_ferla_rocs_cov_Z4425283730
