smiles,submitter_name,ref_pdb,hit_names,ID,ROMol,name
COc1cccc([C@H]2[C@H](Oc3cccc(Cl)c3)C(=O)N2Cc2cccc(NC(C)=O)c2)c1OC,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z781034730,<rdkit.Chem.rdchem.Mol object at 0x17544f190>,matteo_ferla_rocs_mixed_Z781034730
CCCn1c(C)cc(C=C(C#N)C(=O)N2C[C@@H](C(=O)N(C)C)Oc3ccccc32)c1C,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z131580190,<rdkit.Chem.rdchem.Mol object at 0x17544fa50>,matteo_ferla_rocs_mixed_Z131580190
CN1c2ccc(Br)cc2N(C(=O)OC(C)(C)C)CC1(C)C,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",EN300_28299118,<rdkit.Chem.rdchem.Mol object at 0x17544f0b0>,matteo_ferla_rocs_mixed_EN300_28299118
Cc1ccc(C)c(S(=O)(=O)NC[C@@H](C)O)c1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z223278782,<rdkit.Chem.rdchem.Mol object at 0x175442f20>,matteo_ferla_rocs_mixed_Z223278782
Cc1ccc(S(=O)(=O)Nc2ccn(C)n2)cc1C,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z123605552,<rdkit.Chem.rdchem.Mol object at 0x175480820>,matteo_ferla_rocs_mixed_Z123605552
Cc1n[nH]c(C)c1CC(=O)Nc1cccc(OCc2ccccn2)c1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z1815548134,<rdkit.Chem.rdchem.Mol object at 0x175480350>,matteo_ferla_rocs_mixed_Z1815548134
Cc1ccc(NC(=O)NC(=O)CCl)c(C)c1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z57008883,<rdkit.Chem.rdchem.Mol object at 0x1754803c0>,matteo_ferla_rocs_mixed_Z57008883
CC1=CC(C)(C)N(C(=O)OC(C)(C)C)c2ccc(Br)cc21,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",EN300_3614537,<rdkit.Chem.rdchem.Mol object at 0x1754804a0>,matteo_ferla_rocs_mixed_EN300_3614537
CC1(C)Cc2cc(Br)cnc2N(C(=O)OC(C)(C)C)C1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",EN300_28297190,<rdkit.Chem.rdchem.Mol object at 0x175480580>,matteo_ferla_rocs_mixed_EN300_28297190
C=CC(=O)Nc1ccc(CC(=O)N2C[C@H](C)c3ccc(S(N)(=O)=O)cc32)cc1,Matteo Ferla,x0451_0A,"x0451_0A,x0554_0A,x0556_0A,x0566_0A,x0310_0A,x0416_0A",Z4899546860,<rdkit.Chem.rdchem.Mol object at 0x175480660>,matteo_ferla_rocs_mixed_Z4899546860
