smiles,submitter_name,ref_pdb,hit_names,ROMol,ID,name
CC(C)n1nc(-c2ccccc2)cc1NC(=O)CC(C)(F)F,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x17642e040>,Z1864315293,steph_fragnetv2_Z1864315293
CC(C)n1nc(-c2ccco2)cc1NC(=O)C(C)(C)CC(F)F,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760bc5f0>,Z2349069754,steph_fragnetv2_Z2349069754
CCCCCC(=O)Nc1c(C)c(C(F)(F)F)nn1C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1761a9e40>,Z1689684941,steph_fragnetv2_Z1689684941
COCCc1cc(NC(=O)C(C)C)n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1761a9c10>,Z1449166017,steph_fragnetv2_Z1449166017
Cc1c(NC(=O)C(C)C[S+](C)[O-])cnn1-c1ccccc1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1761a9eb0>,PV-002236652868,steph_fragnetv2_PV-002236652868
CCn1nc(C(C)(C)C)cc1NC(=O)C(C)C(F)(F)F,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1761a9ba0>,Z3608273487,steph_fragnetv2_Z3608273487
CC(=O)Nc1[nH]nc(C(=O)NC(C)C(C)(F)F)c1Br,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1761a9f90>,Z4323971343,steph_fragnetv2_Z4323971343
CC(C)(C)c1cc(NC(=O)CC(C)(C)C(F)(F)F)n(C(C)(C)C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1761a9c80>,Z1957597442,steph_fragnetv2_Z1957597442
COCCc1cc(NC(=O)C=C(C)C)n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1761a9d60>,Z1449167414,steph_fragnetv2_Z1449167414
CC(=O)Nc1[nH]nc(C(=O)NC(CO)CC(C)C)c1Br,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1761a93c0>,PV-002883039553,steph_fragnetv2_PV-002883039553
CCn1nc(-c2ccccc2)cc1NC(=O)CC(C)(C)C#N,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1761a9f20>,Z4246247588,steph_fragnetv2_Z4246247588
CCc1cnn(C)c1NC(=O)CC(CC)C(C)C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1763ad660>,Z3626603198,steph_fragnetv2_Z3626603198
CCn1nc(-c2ccccc2)cc1NC(=O)C(C)(C)C(F)F,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1764067b0>,PV-002862252644,steph_fragnetv2_PV-002862252644
CC(=O)Nc1[nH]nc(C(=O)NCC(C)(C)CCO)c1Br,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1764066d0>,PV-002895096027,steph_fragnetv2_PV-002895096027
CC(=O)Nc1[nH]nc(C(=O)N(C)C(C)C(N)=O)c1Br,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1764060b0>,"PV-003031505296,ENAMINE","steph_fragnetv2_PV-003031505296,ENAMINE"
CCc1cc(NC(=O)CC(C)(C)C#N)n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176406190>,Z1900087782,steph_fragnetv2_Z1900087782
Cn1ncc(-c2nc3ccccc3[nH]2)c1NC(=O)CC(C)(C)C#N,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x176406270>,Z2474805334,steph_fragnetv2_Z2474805334
CC(=O)Nc1[nH]nc(C(=O)NCC(CO)C(C)(C)C)c1Br,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760b2cf0>,PV-004045193077,steph_fragnetv2_PV-004045193077
CC(=O)Nc1nc(C(=O)NCCN(C)C(=O)c2cc[nH]n2)cs1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760b22e0>,PV-001437842079,steph_fragnetv2_PV-001437842079
COc1cc(NC(=O)CC(C)SC)n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760b2c10>,Z2852430883,steph_fragnetv2_Z2852430883
CCc1c(C)n[nH]c1NC(=O)C(F)(F)C(C)C,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760b2ac0>,Z4285505219,steph_fragnetv2_Z4285505219
COc1cc(NC(=O)CCC(C)(C)[N+](=O)[O-])n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760b2e40>,Z2852440801,steph_fragnetv2_Z2852440801
CCOC(=O)c1cc(NC(=O)CC(F)(F)CC)n(C)n1,Steph Wills,x0310_0A,"x0556_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x1760b2ba0>,Z3609365769,steph_fragnetv2_Z3609365769
