smiles,submitter_name,ref_pdb,hit_names,ROMol,ID,name
Cc1cnccc1NC(=O)C(C)C,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b0bf20>,CSMB00011908591,steph_fragnetv2_CSMB00011908591
O=C(Nc1ccc2cc[nH]c2c1)C1CCCO1,Steph Wills,x0310_0A,"x0416_0A,x0451_0A",<rdkit.Chem.rdchem.Mol object at 0x175b0be40>,Z1928816643,steph_fragnetv2_Z1928816643
O=C(NCC1CCCO1)c1cc(C2CC2)[nH]n1,Steph Wills,x0310_0A,"x0310_0A,x0416_0A",<rdkit.Chem.rdchem.Mol object at 0x17592b430>,Z2283382859,steph_fragnetv2_Z2283382859
Cc1cnccc1NC(=O)C(C)CC#N,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x17592b120>,Z2628169618,steph_fragnetv2_Z2628169618
O=C(OCC1CCCO1)C1(c2cc[nH]n2)CC1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x17592b040>,Z4193559564,steph_fragnetv2_Z4193559564
CC(CC1CCCO1)Nc1nccs1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175923740>,Z1024527274,steph_fragnetv2_Z1024527274
Cc1cc2c(F)cc(C3=CCCOC3)cc2[nH]1,Steph Wills,x0310_0A,"x0451_0A,x0416_0A",<rdkit.Chem.rdchem.Mol object at 0x175923900>,Z3506071959,steph_fragnetv2_Z3506071959
CC1(CC(=O)NCc2nccs2)CCCO1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2a0b0>,Z3468212200,steph_fragnetv2_Z3468212200
c1cc(C2(c3nnc(C4CCCO4)o3)CCC2)on1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2a190>,Z4385309909,steph_fragnetv2_Z4385309909
CCc1[nH]ncc1C(=O)NCC1CCCO1,Steph Wills,x0310_0A,"x0310_0A,x0416_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2a270>,Z2296382937,steph_fragnetv2_Z2296382937
O=C(Nc1cccc2cc[nH]c12)C1CCCO1,Steph Wills,x0310_0A,"x0451_0A,x0416_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2a350>,Z1725489568,steph_fragnetv2_Z1725489568
O=C(NCc1ccsn1)C1CCCO1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2a4a0>,Z3599357434,steph_fragnetv2_Z3599357434
CC1(CC(=O)Nc2cccnc2)CCCO1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2a580>,Z3466527011,steph_fragnetv2_Z3466527011
O=C(NNC(=O)C1CCCO1)c1cc[nH]n1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2a5f0>,Z2230812518,steph_fragnetv2_Z2230812518
CC(=O)Nc1cccc(NC(C)C2CCOC2)c1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2a6d0>,Z1607050605,steph_fragnetv2_Z1607050605
CCc1ncc(F)cc1NC(=O)C(C)C,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2a820>,Z3614356474,steph_fragnetv2_Z3614356474
Cc1cc2cc[nH]c2cc1NC(=O)C1CCCO1,Steph Wills,x0310_0A,"x0451_0A,x0416_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2a890>,Z1768376965,steph_fragnetv2_Z1768376965
CCc1cnc(C)cc1NC(=O)C(C)C,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2a900>,Z4202334554,steph_fragnetv2_Z4202334554
Cc1nc(C(N)=O)ccc1NC(=O)CC(F)(F)F,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2a9e0>,Z2963611432,steph_fragnetv2_Z2963611432
O=C(OCC1CCCO1)C1(c2ccno2)CCC1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2aa50>,Z4396315791,steph_fragnetv2_Z4396315791
Cc1ncccc1NC(=O)C(F)(F)C(F)F,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2aac0>,Z1344308501,steph_fragnetv2_Z1344308501
Cc1ncccc1NC(=O)CC(C)(F)F,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2aba0>,Z1863855516,steph_fragnetv2_Z1863855516
O=C(C=CC1CCCO1)Nc1cnsc1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2ac10>,Z2874021660,steph_fragnetv2_Z2874021660
CC(=O)Nc1ccncc1NC(=O)CC1CCCO1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2ac80>,Z1739758372,steph_fragnetv2_Z1739758372
Cc1ccc(NC(=O)C(F)(F)F)c(C)n1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2ad60>,Z1393356942,steph_fragnetv2_Z1393356942
Cc1cc(C(F)(F)F)ncc1NC(=O)CSC(F)F,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2add0>,Z2321371117,steph_fragnetv2_Z2321371117
CCC(=O)Nc1ccncc1C,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2af20>,CSMB00011908583,steph_fragnetv2_CSMB00011908583
C=C1CON(C(=O)NCc2ccn(CC)n2)C1,Steph Wills,x0310_0A,"x0310_0A,x0416_0A",<rdkit.Chem.rdchem.Mol object at 0x175b2af90>,Z3189486499,steph_fragnetv2_Z3189486499
O=C(NC(CO)C1CCCO1)c1cc(Br)[nH]n1,Steph Wills,x0310_0A,"x0310_0A,x0416_0A",<rdkit.Chem.rdchem.Mol object at 0x175b340b0>,Z2637794605,steph_fragnetv2_Z2637794605
Cc1cnccc1NC(=O)CC(C)(F)F,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b34190>,Z1864245950,steph_fragnetv2_Z1864245950
C=C(CC)C(=O)Nc1ccncc1C,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b34270>,Z3189079410,steph_fragnetv2_Z3189079410
Cc1ncccc1NC(=O)CCC(F)(F)F,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b342e0>,Z1303531629,steph_fragnetv2_Z1303531629
CC(=O)NC1CN(C(=O)C2CCCO2)CC12CC2,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b34350>,PV-003883833446,steph_fragnetv2_PV-003883833446
CCc1ncc(F)cc1NC(=O)C(F)(F)CC,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b343c0>,Z3614355606,steph_fragnetv2_Z3614355606
NCCc1c[nH]c2ccc(C3=CCOCC3)cc12,Steph Wills,x0310_0A,"x0451_0A,x0416_0A",<rdkit.Chem.rdchem.Mol object at 0x175b34430>,Z2789700272,steph_fragnetv2_Z2789700272
CC(NCC1(O)CCOC1)c1cccnc1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b344a0>,Z1583116507,steph_fragnetv2_Z1583116507
Cc1cc(NC(=O)C(F)(F)C(F)F)c(C)cn1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b34510>,Z1483009799,steph_fragnetv2_Z1483009799
CC=C(C)C(=O)Nc1c(C)cncc1C,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b345f0>,Z3086674657,steph_fragnetv2_Z3086674657
O=S(=O)(NCC1CCCO1)c1cnsc1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b346d0>,Z3641971449,steph_fragnetv2_Z3641971449
O=C(NC(C(F)F)C1CCCO1)c1cc(Br)[nH]n1,Steph Wills,x0310_0A,"x0310_0A,x0416_0A",<rdkit.Chem.rdchem.Mol object at 0x175b34740>,Z4048469540,steph_fragnetv2_Z4048469540
Cc1ccnc(C)c1NC(=O)C(C)C(F)(F)F,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b347b0>,Z2414552905,steph_fragnetv2_Z2414552905
Cc1nc(F)ccc1NC(=O)CCC(F)F,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b34900>,Z3092692215,steph_fragnetv2_Z3092692215
Cc1cnccc1NC(=O)CCC(F)(F)F,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b34970>,Z1274147490,steph_fragnetv2_Z1274147490
CC(C)C(=O)Nc1ccncc1Br,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b349e0>,CSMB00013040889,steph_fragnetv2_CSMB00013040889
O=C(NCC1CCCO1)C1(c2cc[nH]n2)CC1,Steph Wills,x0310_0A,"x0416_0A,x0310_0A",<rdkit.Chem.rdchem.Mol object at 0x175b34a50>,Z4198320656,steph_fragnetv2_Z4198320656
