smiles,num_steps,rxn_order_first_to_last,reactants,BuildingBlocks,catalogName_for_BuildingBlock
CC(=O)Nc1ccc(F)c2ccccc12,0,[],[],['CC(=O)Nc1ccc(F)c2ccccc12'],"['enamine_real', 'enamine_made']"
CC(=O)Nc1cc(C)c2ccccc2n1,0,[],[],['CC(=O)Nc1cc(C)c2ccccc2n1'],"['enamine_made', 'enamine_real']"
N=C(N)NC(=O)[C@@H](N)c1ccccc1,0,[],[],['N=C(N)NC(=O)C(N)c1ccccc1'],"['enamine_real', 'enamine_made']"
Cc1ccc2ccccc2c1NC(N)=O,0,[],[],['Cc1ccc2ccccc2c1NC(N)=O'],"['enamine_real', 'enamine_made']"
Cc1nc(-c2cn(C)c3ccccc23)nn1C,0,[],[],['Cc1nc(-c2cn(C)c3ccccc23)nn1C'],['enamine_real']
Cc1cnc(Cl)c(OCC(=O)C(C)(C)C)c1,0,[],[],['Cc1cnc(Cl)c(OCC(=O)C(C)(C)C)c1'],['enamine_real']
Cc1cc(CNC(=O)[C@H](C)N)cnc1Cl,0,[],[],['Cc1cc(CNC(=O)C(C)N)cnc1Cl'],['enamine_real']
CCn1cc(C(=O)OC)c2ccccc21,0,[],[],['CCn1cc(C(=O)OC)c2ccccc21'],"['enamine_made', 'mcule', 'enamine_real']"
CNC(=O)c1cccc2c(Cl)c(Cl)sc12,0,[],[],['CNC(=O)c1cccc2c(Cl)c(Cl)sc12'],['enamine_real']
COc1ccccc1C1(NC(=O)C(C)N)CCOCC1,0,[],[],['COc1ccccc1C1(NC(=O)C(C)N)CCOCC1'],['enamine_real']
CCC(=O)Nc1cccc2ccccc12,0,[],[],['CCC(=O)Nc1cccc2ccccc12'],"['enamine_made', 'enamine_real', 'molport', 'mcule']"
CN(C(=O)c1cn(C)c2ccccc12)C(C)(C)C,0,[],[],['CN(C(=O)c1cn(C)c2ccccc12)C(C)(C)C'],"['enamine_made', 'enamine_real']"
Cc1ccc(C)c(NC(N)=O)c1,0,[],[],['Cc1ccc(C)c(NC(N)=O)c1'],"['enamine_bb', 'enamine_real', 'enamine_made', 'mcule', 'molport']"
CC(C)NC(=O)c1c(N)cnn1C,0,[],[],['CC(C)NC(=O)c1c(N)cnn1C'],"['molport', 'enamine_made', 'enamine_real']"
