,bad_expansion,base_compound,conformer,expanded_on_atom_0,expanded_on_atom_1,expanded_on_atom_14,expanded_on_atom_2,expanded_on_atom_5,expanded_on_atom_6,good_expansion,name,num_atom_diff,r1_mol,r1_smiles,r2_mol,r2_smiles,reaction,smiles_x,step,total_steps,error,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,regarded,LE,percent_hybrid,largest_ring,N_HA,N_rotatable_bonds,outcome
0,,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,False,False,False,False,False,False,,KFKUHRDIQZWKPK-UHFFFAOYSA-N-base-A,0,<rdkit.Chem.rdchem.Mol object at 0x177cc2680>,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,c1cc[12c](-c2cccc3cc[nH]c23)nc1,1,1,,6122972001.252635,6122972535.23398,533.9813447132973,0.6601380425980503,13.0,2.0,['A71EV2A-x0566_0A'],-408198133.41684234,0.0,6.0,15.0,1.0,too contorted
1,,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,False,False,False,False,False,False,,KFKUHRDIQZWKPK-UHFFFAOYSA-N-1-A,1,<rdkit.Chem.rdchem.Mol object at 0x177cc2680>,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x29239e900>,Cn1ccc2cccc(B(O)O)c21,Sp2-sp2_Suzuki_coupling,Cn1ccc2cccc(-[12c]3ccccn3)c21,1,1,,7770873270.528994,7770873776.821373,506.292379348488,0.6361575767529308,13.0,3.0,['A71EV2A-x0566_0A'],-485679579.4080621,0.0,6.0,16.0,1.0,too contorted
2,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,False,False,True,False,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-2-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7c680>,Nc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,Nc1cccc(-c2cccc3cc[nH]c23)n1,1,1,,,,499.7296854146586,0.4334929616587239,13.0,3.0,['A71EV2A-x0566_0A'],,0.0,6.0,16.0,1.0,acceptable
3,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,True,False,False,False,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-3-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7c7c0>,Bc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,Bc1ccc(-c2cccc3cc[nH]c23)nc1,1,1,ValueError: No idea what this B SP2 is,,,,,13.0,3.0,['A71EV2A-x0566_0A'],,0.0,0.0,0.0,0.0,crashed
4,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,False,False,False,True,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-4-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7c900>,Brc1ncccc1I,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,Ic1cccnc1-c1cccc2cc[nH]c12,1,1,,6682917692.078032,6682918189.699706,497.62167457332,2.4669434094201628,13.0,3.0,['A71EV2A-x0566_0A'],-417682355.754877,0.0,6.0,16.0,1.0,too moved
5,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,True,False,False,False,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-5-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7c3b0>,Sc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,Sc1ccc(-c2cccc3cc[nH]c23)nc1,1,1,,5954186401.311311,5954186695.3694935,294.0581830651782,0.6771892551375971,13.0,3.0,['A71EV2A-x0566_0A'],-372136650.0819569,0.0,6.0,16.0,1.0,too contorted
6,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,False,False,True,False,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-6-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7c810>,Cc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,Cc1cccc(-c2cccc3cc[nH]c23)n1,1,1,,7483209062.601549,7483209553.391466,490.78991655911267,0.6791299082850057,13.0,3.0,['A71EV2A-x0566_0A'],-467700566.4125968,0.0,6.0,16.0,1.0,too contorted
7,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,True,False,False,False,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-7-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7c220>,Nc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,Nc1ccc(-c2cccc3cc[nH]c23)nc1,1,1,,,,464.1126139351975,0.4461437169143223,13.0,3.0,['A71EV2A-x0566_0A'],,0.0,6.0,16.0,1.0,acceptable
8,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,False,True,False,False,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-8-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7cef0>,O=c1cc[nH]c(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,O=c1cc[nH]c(-c2cccc3cc[nH]c23)c1,1,1,,6252575207.377544,6252575691.535305,484.1577603562211,0.6664922937068796,13.0,3.0,['A71EV2A-x0566_0A'],-390785950.4610965,0.0,6.0,16.0,1.0,too contorted
9,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,False,False,False,True,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-9-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7c4a0>,Nc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,Nc1cccnc1-c1cccc2cc[nH]c12,1,1,,,,500.77660352695,0.8346431548301437,13.0,3.0,['A71EV2A-x0566_0A'],,0.0,6.0,16.0,1.0,acceptable
