SMILES,num_steps,rxn_order_first_to_last,reactants,BuildingBlocks,catalogName_for_BuildingBlock
CN(C)C(CNC(=O)C1=CC=CC(=C1)C#N)C2=CC3=CC=CC=C3O2,0,[],[],['CN(C)C(CNC(=O)c1cccc(C#N)c1)c1cc2ccccc2o1'],"['molport', 'mcule']"
CN(C)C(CNC(=O)C1=CC=CC(=C1)C#N)C2=CC3=CC=CC=C3O2,2,"['Reductive amination', 'Amidation']","[('N#Cc1cccc(C(=O)NCC(=O)c2cc3ccccc3o2)c1', 'CNC'), ('NCC(=O)c1cc2ccccc2o1', 'N#Cc1cccc(C(=O)O)c1')]","['CN(C)C(CNC(=O)c1cccc(C#N)c1)c1cc2ccccc2o1', None, 'NCC(=O)c1cc2ccccc2o1', 'N#Cc1cccc(C(=O)O)c1', 'CNC']","['molport', 'mcule', 'mcule', 'mcule', 'enamine_bb', 'generic', 'molport', 'enamine_bb', 'mcule', 'molport', 'generic']"
CN(C)C(CNC(=O)C1=CC=CC(=C1)C#N)C2=CC3=CC=CC=C3O2,2,"['Amide Schotten-Baumann with amine', 'Reductive amination']","[('N#Cc1cccc(C(=O)Cl)c1', 'CN(C)C(CN)c1cc2ccccc2o1'), ('NCC(=O)c1cc2ccccc2o1', 'CNC')]","['NCC(=O)c1cc2ccccc2o1', 'N#Cc1cccc(C(=O)Cl)c1', 'CN(C)C(CNC(=O)c1cccc(C#N)c1)c1cc2ccccc2o1', None, 'CNC']","['mcule', 'molport', 'mcule', 'generic', 'enamine_bb', 'molport', 'mcule', 'enamine_bb', 'mcule', 'molport', 'generic']"
CN(C)C(CNC(=O)C1=CC=CC(=C1)C#N)C2=CC3=CC=CC=C3O2,2,"['Reductive amination', 'Amide Schotten-Baumann with amine']","[('N#Cc1cccc(C(=O)NCC(=O)c2cc3ccccc3o2)c1', 'CNC'), ('NCC(=O)c1cc2ccccc2o1', 'N#Cc1cccc(C(=O)Cl)c1')]","['CN(C)C(CNC(=O)c1cccc(C#N)c1)c1cc2ccccc2o1', 'NCC(=O)c1cc2ccccc2o1', 'N#Cc1cccc(C(=O)Cl)c1', None, 'CNC']","['molport', 'mcule', 'mcule', 'molport', 'mcule', 'generic', 'enamine_bb', 'enamine_bb', 'mcule', 'molport', 'generic']"
CN(C)C(CNC(=O)C1=CC=CC(=C1)C#N)C2=CC3=CC=CC=C3O2,2,"['Amidation', 'Reductive amination']","[('N#Cc1cccc(C(=O)O)c1', 'CN(C)C(CN)c1cc2ccccc2o1'), ('NCC(=O)c1cc2ccccc2o1', 'CNC')]","['N#Cc1cccc(C(=O)O)c1', 'NCC(=O)c1cc2ccccc2o1', 'CN(C)C(CNC(=O)c1cccc(C#N)c1)c1cc2ccccc2o1', 'CNC', None]","['mcule', 'enamine_bb', 'generic', 'molport', 'mcule', 'molport', 'mcule', 'enamine_bb', 'mcule', 'molport', 'generic']"
CN(C)C(CNC(=O)C1=CC=CC(=C1)C#N)C2=CC3=CC=CC=C3O2,3,"['Reductive amination', 'Reductive amination', 'Amidation']","[('CNC(CNC(=O)c1cccc(C#N)c1)c1cc2ccccc2o1', 'C=O'), ('N#Cc1cccc(C(=O)NCC(=O)c2cc3ccccc3o2)c1', 'CN'), ('NCC(=O)c1cc2ccccc2o1', 'N#Cc1cccc(C(=O)O)c1')]","['NCC(=O)c1cc2ccccc2o1', 'CN', 'C=O', None, 'N#Cc1cccc(C(=O)O)c1', 'CN(C)C(CNC(=O)c1cccc(C#N)c1)c1cc2ccccc2o1', None]","['mcule', 'molport', 'generic', 'mcule', 'generic', 'mcule', 'molport', 'mcule', 'enamine_bb', 'generic', 'molport', 'molport', 'mcule']"
CN(C)C(CNC(=O)C1=CC=CC(=C1)C#N)C2=CC3=CC=CC=C3O2,3,"['Reductive amination', 'Reductive amination', 'Amide Schotten-Baumann with amine']","[('CNC(CNC(=O)c1cccc(C#N)c1)c1cc2ccccc2o1', 'C=O'), ('N#Cc1cccc(C(=O)NCC(=O)c2cc3ccccc3o2)c1', 'CN'), ('NCC(=O)c1cc2ccccc2o1', 'N#Cc1cccc(C(=O)Cl)c1')]","[None, 'NCC(=O)c1cc2ccccc2o1', 'N#Cc1cccc(C(=O)Cl)c1', 'C=O', 'CN(C)C(CNC(=O)c1cccc(C#N)c1)c1cc2ccccc2o1', 'CN', None]","['mcule', 'molport', 'mcule', 'generic', 'enamine_bb', 'generic', 'mcule', 'molport', 'molport', 'mcule', 'molport', 'generic', 'mcule']"
CN(C)C(CNC(=O)C1=CC=CC(=C1)C#N)C2=CC3=CC=CC=C3O2,3,"['Reductive amination', 'Amidation', 'Reductive amination']","[('CNC(CNC(=O)c1cccc(C#N)c1)c1cc2ccccc2o1', 'C=O'), ('N#Cc1cccc(C(=O)O)c1', 'CNC(CN)c1cc2ccccc2o1'), ('NCC(=O)c1cc2ccccc2o1', 'CN')]","['CN(C)C(CNC(=O)c1cccc(C#N)c1)c1cc2ccccc2o1', 'CN', None, 'N#Cc1cccc(C(=O)O)c1', None, 'NCC(=O)c1cc2ccccc2o1', 'C=O']","['molport', 'mcule', 'molport', 'generic', 'mcule', 'mcule', 'enamine_bb', 'generic', 'molport', 'mcule', 'generic', 'mcule', 'molport']"
CC1=NN=C2SC(=NN12)C3=CC=CC(NC(=O)CC4=CC=CC=C4)=C3,0,[],[],['Cc1nnc2sc(-c3cccc(NC(=O)Cc4ccccc4)c3)nn12'],"['molport', 'mcule', 'mcule_ultimate']"
CC1=NN=C2SC(=NN12)C3=CC=CC(NC(=O)CC4=CC=CC=C4)=C3,1,['Amide Schotten-Baumann with amine'],"[('O=C(Cl)Cc1ccccc1', 'Cc1nnc2sc(-c3cccc(N)c3)nn12')]","['Cc1nnc2sc(-c3cccc(N)c3)nn12', 'Cc1nnc2sc(-c3cccc(NC(=O)Cc4ccccc4)c3)nn12', 'O=C(Cl)Cc1ccccc1']","['mcule', 'molport', 'molport', 'mcule', 'mcule_ultimate', 'mcule', 'molport', 'generic', 'enamine_bb']"
CC1=NN=C2SC(=NN12)C3=CC=CC(NC(=O)CC4=CC=CC=C4)=C3,1,['Amidation'],"[('O=C(O)Cc1ccccc1', 'Cc1nnc2sc(-c3cccc(N)c3)nn12')]","['O=C(O)Cc1ccccc1', 'Cc1nnc2sc(-c3cccc(N)c3)nn12', 'Cc1nnc2sc(-c3cccc(NC(=O)Cc4ccccc4)c3)nn12']","['mcule', 'mcule', 'molport', 'molport', 'mcule', 'mcule_ultimate']"
CCOC(=O)C1=C(NC2=CC=CC=C2)N(C=N1)C3=CC=CC=C3,1,['Buchwald-Hartwig amination'],"[('O=S(=O)(Oc1ccccc1)C(F)(F)F', 'CCOC(=O)c1ncn(-c2ccccc2)c1N')]","['O=S(=O)(Oc1ccccc1)C(F)(F)F', 'CCOC(=O)c1ncn(-c2ccccc2)c1N', None]","['mcule', 'molport', 'mcule']"
CCOC(=O)C1=C(NC2=CC=CC=C2)N(C=N1)C3=CC=CC=C3,1,['Buchwald-Hartwig amination'],"[('Ic1ccccc1', 'CCOC(=O)c1ncn(-c2ccccc2)c1N')]","['CCOC(=O)c1ncn(-c2ccccc2)c1N', 'Ic1ccccc1', None]","['mcule', 'enamine_bb', 'molport', 'mcule', 'generic']"
CCOC(=O)C1=C(NC2=CC=CC=C2)N(C=N1)C3=CC=CC=C3,1,['Buchwald-Hartwig amination'],"[('CCOC(=O)c1ncn(-c2ccccc2)c1N', 'Brc1ccccc1')]","['Brc1ccccc1', None, 'CCOC(=O)c1ncn(-c2ccccc2)c1N']","['generic', 'mcule', 'molport', 'enamine_bb', 'mcule']"
CCOC(=O)C1=C(NC2=CC=CC=C2)N(C=N1)C3=CC=CC=C3,1,['Buchwald-Hartwig amination'],"[('Clc1ccccc1', 'CCOC(=O)c1ncn(-c2ccccc2)c1N')]","['Clc1ccccc1', 'CCOC(=O)c1ncn(-c2ccccc2)c1N', None]","['mcule', 'molport', 'enamine_bb', 'generic', 'mcule']"
CC1=CC=CC(NC(=O)CCOC2=CC=CC(Cl)=C2Cl)=C1C(=O)N3CCCC3,1,['Amidation'],"[('O=C(O)CCOc1cccc(Cl)c1Cl', 'Cc1cccc(N)c1C(=O)N1CCCC1')]","['O=C(O)CCOc1cccc(Cl)c1Cl', 'Cc1cccc(N)c1C(=O)N1CCCC1', None]","['mcule', 'enamine_bb', 'mcule', 'enamine_bb']"
CC1=CC=CC(NC(=O)CCOC2=CC=CC(Cl)=C2Cl)=C1C(=O)N3CCCC3,2,"['Buchwald-Hartwig (thio)etherification', 'Amidation']","[('Clc1cccc(I)c1Cl', 'Cc1cccc(NC(=O)CCO)c1C(=O)N1CCCC1'), ('O=C(O)CCO', 'Cc1cccc(N)c1C(=O)N1CCCC1')]","['Clc1cccc(I)c1Cl', 'Cc1cccc(N)c1C(=O)N1CCCC1', None, 'O=C(O)CCO', None]","['enamine_bb', 'mcule', 'generic', 'molport', 'mcule', 'enamine_bb', 'mcule', 'generic', 'enamine_bb', 'molport']"
CC1=CC=CC(NC(=O)CCOC2=CC=CC(Cl)=C2Cl)=C1C(=O)N3CCCC3,2,"['Amidation', 'Amidation']","[('Cc1cccc(NC(=O)CCOc2cccc(Cl)c2Cl)c1C(=O)O', 'C1CCNC1'), ('O=C(O)CCOc1cccc(Cl)c1Cl', 'Cc1cccc(N)c1C(=O)O')]","['C1CCNC1', None, 'O=C(O)CCOc1cccc(Cl)c1Cl', None, 'Cc1cccc(N)c1C(=O)O']","['enamine_bb', 'generic', 'mcule', 'molport', 'mcule', 'enamine_bb', 'enamine_bb', 'molport', 'mcule', 'generic']"
CC1=CC=CC(NC(=O)CCOC2=CC=CC(Cl)=C2Cl)=C1C(=O)N3CCCC3,2,"['Buchwald-Hartwig (thio)etherification', 'Amidation']","[('Clc1cccc(Br)c1Cl', 'Cc1cccc(NC(=O)CCO)c1C(=O)N1CCCC1'), ('O=C(O)CCO', 'Cc1cccc(N)c1C(=O)N1CCCC1')]","[None, None, 'Cc1cccc(N)c1C(=O)N1CCCC1', 'Clc1cccc(Br)c1Cl', 'O=C(O)CCO']","['mcule', 'enamine_bb', 'molport', 'generic', 'mcule', 'enamine_bb', 'mcule', 'generic', 'enamine_bb', 'molport']"
CC1=CC=CC(NC(=O)CCOC2=CC=CC(Cl)=C2Cl)=C1C(=O)N3CCCC3,3,"['Buchwald-Hartwig (thio)etherification', 'Amidation', 'Amidation']","[('Clc1cccc(I)c1Cl', 'Cc1cccc(NC(=O)CCO)c1C(=O)N1CCCC1'), ('Cc1cccc(NC(=O)CCO)c1C(=O)O', 'C1CCNC1'), ('O=C(O)CCO', 'Cc1cccc(N)c1C(=O)O')]","['O=C(O)CCO', None, None, 'Cc1cccc(N)c1C(=O)O', 'Clc1cccc(I)c1Cl', 'C1CCNC1', None]","['mcule', 'generic', 'enamine_bb', 'molport', 'enamine_bb', 'molport', 'mcule', 'generic', 'enamine_bb', 'mcule', 'generic', 'molport', 'enamine_bb', 'generic', 'mcule', 'molport']"
CC1=CC=CC(NC(=O)CCOC2=CC=CC(Cl)=C2Cl)=C1C(=O)N3CCCC3,3,"['Buchwald-Hartwig (thio)etherification', 'Amidation', 'Amidation']","[('Clc1cccc(Br)c1Cl', 'Cc1cccc(NC(=O)CCO)c1C(=O)N1CCCC1'), ('Cc1cccc(NC(=O)CCO)c1C(=O)O', 'C1CCNC1'), ('O=C(O)CCO', 'Cc1cccc(N)c1C(=O)O')]","['Cc1cccc(N)c1C(=O)O', None, 'Clc1cccc(Br)c1Cl', 'C1CCNC1', None, 'O=C(O)CCO', None]","['enamine_bb', 'molport', 'mcule', 'generic', 'molport', 'generic', 'mcule', 'enamine_bb', 'enamine_bb', 'generic', 'mcule', 'molport', 'mcule', 'generic', 'enamine_bb', 'molport']"
CC1=CC=CC(NC(=O)CCOC2=CC=CC(Cl)=C2Cl)=C1C(=O)N3CCCC3,3,"['Amidation', 'Buchwald-Hartwig (thio)etherification', 'Amidation']","[('Cc1cccc(NC(=O)CCOc2cccc(Cl)c2Cl)c1C(=O)O', 'C1CCNC1'), ('Clc1cccc(I)c1Cl', 'Cc1cccc(NC(=O)CCO)c1C(=O)O'), ('O=C(O)CCO', 'Cc1cccc(N)c1C(=O)O')]","['O=C(O)CCO', None, None, 'Clc1cccc(I)c1Cl', 'C1CCNC1', None, 'Cc1cccc(N)c1C(=O)O']","['mcule', 'generic', 'enamine_bb', 'molport', 'enamine_bb', 'mcule', 'generic', 'molport', 'enamine_bb', 'generic', 'mcule', 'molport', 'enamine_bb', 'molport', 'mcule', 'generic']"
CC1=CC=CC(NC(=O)CCOC2=CC=CC(Cl)=C2Cl)=C1C(=O)N3CCCC3,3,"['Amidation', 'Buchwald-Hartwig (thio)etherification', 'Amidation']","[('Cc1cccc(NC(=O)CCOc2cccc(Cl)c2Cl)c1C(=O)O', 'C1CCNC1'), ('Clc1cccc(Br)c1Cl', 'Cc1cccc(NC(=O)CCO)c1C(=O)O'), ('O=C(O)CCO', 'Cc1cccc(N)c1C(=O)O')]","[None, 'Cc1cccc(N)c1C(=O)O', None, 'O=C(O)CCO', 'Clc1cccc(Br)c1Cl', 'C1CCNC1', None]","['enamine_bb', 'molport', 'mcule', 'generic', 'mcule', 'generic', 'enamine_bb', 'molport', 'molport', 'generic', 'mcule', 'enamine_bb', 'enamine_bb', 'generic', 'mcule', 'molport']"
COC(=O)C1=CC=CC2=C1N=C(N3CCN(C4=CC(F)=CC=C4)C(=O)C3)S2,1,['N-nucleophilic aromatic substitution'],"[('O=C1CNCCN1c1cccc(F)c1', 'COC(=O)c1cccc2sc(Cl)nc12')]","['O=C1CNCCN1c1cccc(F)c1', 'COC(=O)c1cccc2sc(Cl)nc12', None]","['mcule', 'enamine_bb', 'molport', 'enamine_bb', 'mcule']"
COC(=O)C1=CC=CC2=C1N=C(N3CCN(C4=CC(F)=CC=C4)C(=O)C3)S2,1,['N-nucleophilic aromatic substitution'],"[('O=C1CNCCN1c1cccc(F)c1', 'COC(=O)c1cccc2sc(Br)nc12')]","['COC(=O)c1cccc2sc(Br)nc12', None, 'O=C1CNCCN1c1cccc(F)c1']","['molport', 'mcule', 'mcule', 'enamine_bb']"
COC(=O)C1=CC=CC2=C1N=C(N3CCN(C4=CC(F)=CC=C4)C(=O)C3)S2,1,['Buchwald-Hartwig amination'],"[('O=C1CNCCN1c1cccc(F)c1', 'COC(=O)c1cccc2sc(Cl)nc12')]","['O=C1CNCCN1c1cccc(F)c1', 'COC(=O)c1cccc2sc(Cl)nc12', None]","['mcule', 'enamine_bb', 'molport', 'enamine_bb', 'mcule']"
COC(=O)C1=CC=CC2=C1N=C(N3CCN(C4=CC(F)=CC=C4)C(=O)C3)S2,1,['Buchwald-Hartwig amination'],"[('O=C1CNCCN1c1cccc(F)c1', 'COC(=O)c1cccc2sc(Br)nc12')]","['COC(=O)c1cccc2sc(Br)nc12', None, 'O=C1CNCCN1c1cccc(F)c1']","['molport', 'mcule', 'mcule', 'enamine_bb']"
COC(=O)C1=CC=CC2=C1N=C(N3CCN(C4=CC(F)=CC=C4)C(=O)C3)S2,3,"['Amidation', 'N-nucleophilic aromatic substitution', 'Buchwald-Hartwig amination']","[('COC(=O)c1cccc2sc(N(CCNc3cccc(F)c3)CC(=O)O)nc12',), ('O=C(O)CNCCNc1cccc(F)c1', 'COC(=O)c1cccc2sc(Cl)nc12'), ('O=S(=O)(Oc1cccc(F)c1)C(F)(F)F', 'NCCNCC(=O)O')]","[None, 'NCCNCC(=O)O', 'O=S(=O)(Oc1cccc(F)c1)C(F)(F)F', 'COC(=O)c1cccc2sc(Cl)nc12', None, None]","['generic', 'enamine_bb', 'molport', 'mcule', 'mcule', 'molport', 'molport', 'enamine_bb', 'mcule']"
COC(=O)C1=CC=CC2=C1N=C(N3CCN(C4=CC(F)=CC=C4)C(=O)C3)S2,3,"['Amidation', 'N-nucleophilic aromatic substitution', 'Buchwald-Hartwig amination']","[('COC(=O)c1cccc2sc(N(CCNc3cccc(F)c3)CC(=O)O)nc12',), ('O=C(O)CNCCNc1cccc(F)c1', 'COC(=O)c1cccc2sc(Cl)nc12'), ('NCCNCC(=O)O', 'Fc1cccc(I)c1')]","['Fc1cccc(I)c1', None, None, 'COC(=O)c1cccc2sc(Cl)nc12', 'NCCNCC(=O)O', None]","['mcule', 'generic', 'molport', 'enamine_bb', 'molport', 'enamine_bb', 'mcule', 'generic', 'enamine_bb', 'molport', 'mcule']"
COC(=O)C1=CC=CC2=C1N=C(N3CCN(C4=CC(F)=CC=C4)C(=O)C3)S2,3,"['Amidation', 'N-nucleophilic aromatic substitution', 'Buchwald-Hartwig amination']","[('COC(=O)c1cccc2sc(N(CCNc3cccc(F)c3)CC(=O)O)nc12',), ('O=C(O)CNCCNc1cccc(F)c1', 'COC(=O)c1cccc2sc(Cl)nc12'), ('NCCNCC(=O)O', 'Fc1cccc(Br)c1')]","['Fc1cccc(Br)c1', None, 'COC(=O)c1cccc2sc(Cl)nc12', None, 'NCCNCC(=O)O', None]","['mcule', 'enamine_bb', 'molport', 'generic', 'molport', 'enamine_bb', 'mcule', 'generic', 'enamine_bb', 'molport', 'mcule']"
