,structuralScore,mw_diff,mw,smi,metadata,mol
0,0.0,0.0,176.069810876,NCc1nc(-c2ccccn2)no1,,
1,0.07525762277520742,54.09200000000007,230.27100000000013,C=CCN(C)Cc1nc(-c2ccccn2)no1,"[{'catalogName': 'enamine_made', 'catalogId': 'BBV-260383947', 'smiles': 'C=CCN(C)Cc1nc(-c2ccccn2)no1', 'purchaseInfo': {'isBuildingBlock': True, 'isScreening': False, 'bbLeadTimeWeeks': 6.0, 'bbPriceRange': '$500-1k / g'}}, {'catalogName': 'enamine_real', 'catalogId': 'Z1745108491', 'smiles': 'C=CCN(C)CC1=NC(C2=CC=CC=N2)=NO1', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 4.0, 'scrPriceRange': '$100-250 / mg'}}, {'catalogName': 'mcule_ultimate', 'catalogId': 'HPKZURLGKYNCNL-UHFFFAOYSA-N', 'smiles': 'C=CCN(C)Cc1nc(-c2ccccn2)no1', 'link': 'https://ultimateapp.mcule.com/search/?t=exact&q=HPKZURLGKYNCNL-UHFFFAOYSA-N', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 12.0, 'scrPriceRange': '$250-500 / mg'}}]",<rdkit.Chem.rdchem.Mol object at 0x16b083430>
2,0.08588233177847947,52.07600000000005,228.2550000000001,C#CCN(C)Cc1nc(-c2ccccn2)no1,"[{'catalogName': 'enamine_made', 'catalogId': 'BBV-115474633', 'smiles': 'C#CCN(C)Cc1nc(-c2ccccn2)no1', 'purchaseInfo': {'isBuildingBlock': True, 'isScreening': False, 'bbLeadTimeWeeks': 6.0, 'bbPriceRange': '$500-1k / g'}}, {'catalogName': 'mcule_ultimate', 'catalogId': 'FJMSQSYESISQNA-UHFFFAOYSA-N', 'smiles': 'C#CCN(C)Cc1nc(-c2ccccn2)no1', 'link': 'https://ultimateapp.mcule.com/search/?t=exact&q=FJMSQSYESISQNA-UHFFFAOYSA-N', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 12.0, 'scrPriceRange': '$250-500 / mg'}}]",<rdkit.Chem.rdchem.Mol object at 0x16b0839e0>
3,0.13203414077119224,72.06300000000005,248.2420000000001,COCCNC(=O)c1nc(-c2ccccn2)no1,"[{'catalogName': 'molport', 'catalogId': 'MolPort-005-927-725', 'smiles': 'COCCNC(=O)c1nc(no1)-c1ccccn1', 'link': 'https://www.molport.com/shop/molecule-link/MolPort-005-927-725', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 2.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'emolecules', 'catalogId': '17655446', 'smiles': 'COCCNC(=O)c1nc(no1)-c1ccccn1', 'link': 'https://search.emolecules.com/search/#?querytype=emoleculesid&p=1&query=17655446', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 6.0, 'scrPriceRange': 'unknown'}}, {'catalogName': 'mcule', 'catalogId': 'MCULE-9497919631', 'smiles': 'N1C(C2=CC=CC=N2)=NOC=1C(NCCOC)=O', 'link': 'https://mcule.com/MCULE-9497919631', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 3.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'sigma', 'catalogId': '158563914', 'smiles': 'COCCNC(=O)c1nc(-c2ccccn2)no1', 'link': 'https://www.aldrichmarketselect.com/list_search.php?text_stuff=158563914&listFormat=STRUCTURE_ID&init_qty=1&qty_UOM=1', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 2.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'pubchem', 'catalogId': '42569324', 'smiles': 'COCCNC(=O)c1nc(-c2ccccn2)no1', 'link': 'https://pubchem.ncbi.nlm.nih.gov/compound/42569324'}]",<rdkit.Chem.rdchem.Mol object at 0x16b083900>
4,0.13854012733851911,106.11499999999964,282.2939999999997,CCCN(Cc1nc(-c2ccccn2)no1)CC(F)F,"[{'catalogName': 'enamine_made', 'catalogId': 'BBV-271612660', 'smiles': 'CCCN(Cc1nc(-c2ccccn2)no1)CC(F)F', 'purchaseInfo': {'isBuildingBlock': True, 'isScreening': False, 'bbLeadTimeWeeks': 6.0, 'bbPriceRange': '$500-1k / g'}}, {'catalogName': 'enamine_real', 'catalogId': 'Z1011118238', 'smiles': 'CCCN(CC1=NC(C2=CC=CC=N2)=NO1)CC(F)F', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 4.0, 'scrPriceRange': '$100-250 / mg'}}, {'catalogName': 'mcule_ultimate', 'catalogId': 'VGNUVQBBUWEKFT-UHFFFAOYSA-N', 'smiles': 'CCCN(Cc1nc(-c2ccccn2)no1)CC(F)F', 'link': 'https://ultimateapp.mcule.com/search/?t=exact&q=VGNUVQBBUWEKFT-UHFFFAOYSA-N', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 12.0, 'scrPriceRange': '$250-500 / mg'}}]",<rdkit.Chem.rdchem.Mol object at 0x16b097040>
5,0.1452546066380741,42.081000000000074,218.26000000000013,CCC[C@@H](N)c1nc(-c2ccccn2)no1,"[{'catalogName': 'enamine_made', 'catalogId': 'BBV-57375781', 'smiles': 'CCC[C@@H](N)c1nc(-c2ccccn2)no1', 'purchaseInfo': {'isBuildingBlock': True, 'isScreening': False, 'bbLeadTimeWeeks': 6.0, 'bbPriceRange': '$500-1k / g'}}, {'catalogName': 'enamine_real', 'catalogId': 'Z2442665890', 'smiles': 'CCC[C@@H](N)C1=NC(C2=CC=CC=N2)=NO1', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 4.0, 'scrPriceRange': '$100-250 / mg'}}, {'catalogName': 'mcule', 'catalogId': 'MCULE-1942261189', 'smiles': 'N1=C(C(CCC)N)ON=C1C1=CC=CC=N1', 'link': 'https://mcule.com/MCULE-1942261189', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 5.0, 'scrPriceRange': 'unknown'}}, {'catalogName': 'pubchem', 'catalogId': '93251985', 'smiles': 'CCC[C@@H](N)c1nc(-c2ccccn2)no1', 'link': 'https://pubchem.ncbi.nlm.nih.gov/compound/93251985'}]",<rdkit.Chem.rdchem.Mol object at 0x16b091cf0>
6,0.15078286573096716,25.99799999999999,202.17700000000005,[N-]=[N+]=NCc1nc(-c2ccccn2)no1,"[{'catalogName': 'enamine_made', 'catalogId': 'BBV-32859102', 'smiles': '[N-]=[N+]=NCc1nc(-c2ccccn2)no1', 'purchaseInfo': {'isBuildingBlock': True, 'isScreening': False, 'bbLeadTimeWeeks': 6.0, 'bbPriceRange': '$500-1k / g'}}, {'catalogName': 'mcule', 'catalogId': 'MCULE-1996546114', 'smiles': 'N1=C(CN=N#N)ON=C1C1C=CC=CN=1', 'link': 'https://mcule.com/MCULE-1996546114', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 5.0, 'scrPriceRange': 'unknown'}}, {'catalogName': 'pubchem', 'catalogId': '61373279', 'smiles': '[N-]=[N+]=NCc1nc(-c2ccccn2)no1', 'link': 'https://pubchem.ncbi.nlm.nih.gov/compound/61373279'}]",<rdkit.Chem.rdchem.Mol object at 0x16b07c430>
7,0.17892499497125297,94.11299999999963,270.2919999999997,C#CCC(C)C(=O)NCc1nc(-c2ccccn2)no1,"[{'catalogName': 'mcule_ultimate', 'catalogId': 'PCGZIUVVPPXRPH-UHFFFAOYSA-N', 'smiles': 'C#CCC(C)C(=O)NCc1nc(-c2ccccn2)no1', 'link': 'https://ultimateapp.mcule.com/search/?t=exact&q=PCGZIUVVPPXRPH-UHFFFAOYSA-N', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 12.0, 'scrPriceRange': '$250-500 / mg'}}]",<rdkit.Chem.rdchem.Mol object at 0x16b07cc80>
8,0.17942852641611537,80.08599999999998,256.26500000000004,c1ccc(-c2noc(CNCc3ccoc3)n2)nc1,"[{'catalogName': 'mcule_ultimate', 'catalogId': 'WGLDSLLKIQUAAS-UHFFFAOYSA-N', 'smiles': 'c1ccc(-c2noc(CNCc3ccoc3)n2)nc1', 'link': 'https://ultimateapp.mcule.com/search/?t=exact&q=WGLDSLLKIQUAAS-UHFFFAOYSA-N', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 12.0, 'scrPriceRange': '$250-500 / mg'}}]",<rdkit.Chem.rdchem.Mol object at 0x16b089cf0>
9,0.1889367163118314,70.1350000000001,246.31400000000016,CCCCN(C)Cc1nc(-c2ccccn2)no1,"[{'catalogName': 'enamine_made', 'catalogId': 'BBV-270106952', 'smiles': 'CCCCN(C)Cc1nc(-c2ccccn2)no1', 'purchaseInfo': {'isBuildingBlock': True, 'isScreening': False, 'bbLeadTimeWeeks': 6.0, 'bbPriceRange': '$500-1k / g'}}, {'catalogName': 'enamine_real', 'catalogId': 'Z641778056', 'smiles': 'CCCCN(C)CC1=NC(C2=CC=CC=N2)=NO1', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 4.0, 'scrPriceRange': '$100-250 / mg'}}, {'catalogName': 'mcule_ultimate', 'catalogId': 'ZPYPIWIUDFFYSG-UHFFFAOYSA-N', 'smiles': 'CCCCN(C)Cc1nc(-c2ccccn2)no1', 'link': 'https://ultimateapp.mcule.com/search/?t=exact&q=ZPYPIWIUDFFYSG-UHFFFAOYSA-N', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 12.0, 'scrPriceRange': '$250-500 / mg'}}]",<rdkit.Chem.rdchem.Mol object at 0x16b088040>
