,structuralScore,mw_diff,mw,smi,metadata,mol,react1_Amidation
0,0,0,236.0797069,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)O)c1,,,TRUE
1,0.140533394,153.225,389.452,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)C(=O)N2CCCCCC2)c1,"[{'catalogName': 'enamine_bb', 'catalogId': 'Z113542728', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)C(=O)N2CCCCCC2)c1', 'link': 'https://www.enaminestore.com/catalog/Z113542728', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 1.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'sigma', 'catalogId': '94941190', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)C(=O)N2CCCCCC2)c1', 'link': 'https://www.aldrichmarketselect.com/list_search.php?text_stuff=94941190&listFormat=STRUCTURE_ID&init_qty=1&qty_UOM=1', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 2.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'pubchem', 'catalogId': '22108573', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)C(=O)N2CCCCCC2)c1', 'link': 'https://pubchem.ncbi.nlm.nih.gov/compound/22108573'}]",<rdkit.Chem.rdchem.Mol object at 0x16b262430>,FALSE
2,0.14259848,13.019,249.246,CC(=O)Nc1cc(NC(C)=O)c(C)c(C(=O)[O-])c1,"[{'catalogName': 'molport', 'catalogId': 'MolPort-001-524-750', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)c(C)c(c1)C(O)=O', 'link': 'https://www.molport.com/shop/molecule-link/MolPort-001-524-750', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 1.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'emolecules', 'catalogId': '1684052', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)c(C)c(c1)C(O)=O', 'link': 'https://search.emolecules.com/search/#?querytype=emoleculesid&p=1&query=1684052', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 6.0, 'scrPriceRange': 'unknown'}}, {'catalogName': 'mcule', 'catalogId': 'MCULE-6432555648', 'smiles': 'C1(C=C(C=C(C(O)=O)C=1C)NC(C)=O)NC(C)=O', 'link': 'https://mcule.com/MCULE-6432555648', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 3.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'sigma', 'catalogId': '28411905', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)c(C)c(C(=O)O)c1', 'link': 'https://www.aldrichmarketselect.com/list_search.php?text_stuff=28411905&listFormat=STRUCTURE_ID&init_qty=1&qty_UOM=1', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 2.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'surechembl', 'catalogId': 'SCHEMBL15798291', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)c(C)c(C(=O)O)c1', 'link': 'https://www.surechembl.org/chemical/SCHEMBL15798291/'}, {'catalogName': 'pubchem', 'catalogId': '723831', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)c(C)c(C(=O)O)c1', 'link': 'https://pubchem.ncbi.nlm.nih.gov/compound/723831'}]",<rdkit.Chem.rdchem.Mol object at 0x16b259ac0>,FALSE
3,0.143018624,216.284,452.511,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)C(=O)N2CCN(c3ccccc3)CC2)c1,"[{'catalogName': 'enamine_bb', 'catalogId': 'Z113542730', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)C(=O)N2CCN(c3ccccc3)CC2)c1', 'link': 'https://www.enaminestore.com/catalog/Z113542730', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 1.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'sigma', 'catalogId': '94941191', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)C(=O)N2CCN(c3ccccc3)CC2)c1', 'link': 'https://www.aldrichmarketselect.com/list_search.php?text_stuff=94941191&listFormat=STRUCTURE_ID&init_qty=1&qty_UOM=1', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 2.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'pubchem', 'catalogId': '45854143', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)C(=O)N2CCN(c3ccccc3)CC2)c1', 'link': 'https://pubchem.ncbi.nlm.nih.gov/compound/45854143'}]",<rdkit.Chem.rdchem.Mol object at 0x16b268c10>,FALSE
4,0.145723225,138.597,374.824,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)c2ccccc2Cl)c1,"[{'catalogName': 'enamine_bb', 'catalogId': 'Z21866292', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)c2ccccc2Cl)c1', 'link': 'https://www.enaminestore.com/catalog/Z21866292', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 1.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'sigma', 'catalogId': '92872437', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)c2ccccc2Cl)c1', 'link': 'https://www.aldrichmarketselect.com/list_search.php?text_stuff=92872437&listFormat=STRUCTURE_ID&init_qty=1&qty_UOM=1', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 2.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'pubchem', 'catalogId': '47004127', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)c2ccccc2Cl)c1', 'link': 'https://pubchem.ncbi.nlm.nih.gov/compound/47004127'}]",<rdkit.Chem.rdchem.Mol object at 0x16b25bc10>,FALSE
5,0.148021254,167.252,403.479,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)C(=O)NC2CCCCCC2)c1,"[{'catalogName': 'enamine_bb', 'catalogId': 'Z113542678', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)C(=O)NC2CCCCCC2)c1', 'link': 'https://www.enaminestore.com/catalog/Z113542678', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 1.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'sigma', 'catalogId': '94941169', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)C(=O)NC2CCCCCC2)c1', 'link': 'https://www.aldrichmarketselect.com/list_search.php?text_stuff=94941169&listFormat=STRUCTURE_ID&init_qty=1&qty_UOM=1', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 2.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'pubchem', 'catalogId': '17475330', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC(C)C(=O)NC2CCCCCC2)c1', 'link': 'https://pubchem.ncbi.nlm.nih.gov/compound/17475330'}]",<rdkit.Chem.rdchem.Mol object at 0x16b262890>,FALSE
6,0.150742248,244.246,480.473,COc1cccc(OCC(=O)Nc2cc(NC(=O)COc3cccc(OC)c3)cc(C(=O)O)c2)c1,"[{'catalogName': 'molport', 'catalogId': 'MolPort-002-256-452', 'smiles': 'COc1cccc(OCC(=O)Nc2cc(NC(=O)COc3cccc(OC)c3)cc(c2)C(O)=O)c1', 'link': 'https://www.molport.com/shop/molecule-link/MolPort-002-256-452', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 2.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'emolecules', 'catalogId': '2220256', 'smiles': 'COc1cccc(OCC(=O)Nc2cc(NC(=O)COc3cccc(OC)c3)cc(c2)C(O)=O)c1', 'link': 'https://search.emolecules.com/search/#?querytype=emoleculesid&p=1&query=2220256', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 6.0, 'scrPriceRange': 'unknown'}}, {'catalogName': 'mcule', 'catalogId': 'MCULE-1162303831', 'smiles': 'C1(=CC(=CC(NC(COC2=CC=CC(OC)=C2)=O)=C1)NC(COC1C=CC=C(OC)C=1)=O)C(O)=O', 'link': 'https://mcule.com/MCULE-1162303831', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 4.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'sigma', 'catalogId': '35132324', 'smiles': 'COc1cccc(OCC(=O)Nc2cc(NC(=O)COc3cccc(OC)c3)cc(C(=O)O)c2)c1', 'link': 'https://www.aldrichmarketselect.com/list_search.php?text_stuff=35132324&listFormat=STRUCTURE_ID&init_qty=1&qty_UOM=1', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 2.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'pubchem', 'catalogId': '2943175', 'smiles': 'COc1cccc(OCC(=O)Nc2cc(NC(=O)COc3cccc(OC)c3)cc(C(=O)O)c2)c1', 'link': 'https://pubchem.ncbi.nlm.nih.gov/compound/2943175'}]",<rdkit.Chem.rdchem.Mol object at 0x16b259f20>,TRUE
7,0.150942148,251.307,487.534,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OCC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)c1,"[{'catalogName': 'enamine_bb', 'catalogId': 'Z21860864', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OCC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)c1', 'link': 'https://www.enaminestore.com/catalog/Z21860864', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 1.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'sigma', 'catalogId': '34154930', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OCC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)c1', 'link': 'https://www.aldrichmarketselect.com/list_search.php?text_stuff=34154930&listFormat=STRUCTURE_ID&init_qty=1&qty_UOM=1', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 2.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'pubchem', 'catalogId': '29180099', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OCC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)c1', 'link': 'https://pubchem.ncbi.nlm.nih.gov/compound/29180099'}]",<rdkit.Chem.rdchem.Mol object at 0x16b268190>,FALSE
8,0.151468053,96.129,332.356,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)O[C@H]2CCCCC2=O)c1,"[{'catalogName': 'enamine_bb', 'catalogId': 'Z21864671', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC2CCCCC2=O)c1', 'link': 'https://www.enaminestore.com/catalog/Z21864671', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 1.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'sigma', 'catalogId': '121410715', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OC2CCCCC2=O)c1', 'link': 'https://www.aldrichmarketselect.com/list_search.php?text_stuff=121410715&listFormat=STRUCTURE_ID&init_qty=1&qty_UOM=1', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 2.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'pubchem', 'catalogId': '40182313', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)O[C@H]2CCCCC2=O)c1', 'link': 'https://pubchem.ncbi.nlm.nih.gov/compound/40182313'}]",<rdkit.Chem.rdchem.Mol object at 0x16b25e7b0>,FALSE
9,0.152683787,157.172,393.399,CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OCc2cc(-c3ccccc3)no2)c1,"[{'catalogName': 'enamine_bb', 'catalogId': 'Z214929072', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OCc2cc(-c3ccccc3)no2)c1', 'link': 'https://www.enaminestore.com/catalog/Z214929072', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 1.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'sigma', 'catalogId': '99722027', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OCc2cc(-c3ccccc3)no2)c1', 'link': 'https://www.aldrichmarketselect.com/list_search.php?text_stuff=99722027&listFormat=STRUCTURE_ID&init_qty=1&qty_UOM=1', 'purchaseInfo': {'isBuildingBlock': False, 'isScreening': True, 'scrLeadTimeWeeks': 2.0, 'scrPriceRange': '< $100 / mg'}}, {'catalogName': 'pubchem', 'catalogId': '37141092', 'smiles': 'CC(=O)Nc1cc(NC(C)=O)cc(C(=O)OCc2cc(-c3ccccc3)no2)c1', 'link': 'https://pubchem.ncbi.nlm.nih.gov/compound/37141092'}]",<rdkit.Chem.rdchem.Mol object at 0x16b262970>,FALSE
