reactant1_structuralScore,reactant1_mw,reactant1_smi,reactant1_metadata,reactant2_structuralScore,reactant2_mw,reactant2_smi,reactant2_metadata,product_smi
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.0,255.013618528,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,,O=C(Cc1cn(Cc2ccc(F)cc2)c2ccccc12)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.11836446845575509,347.4249999999998,Cc1cc(Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)ncn1,"[{'catalogName': 'emolecules', 'catalogId': '5943034', 'smiles': 'Cc1cc(Nc2ccc(cc2)S(=O)(=O)Nc2nccs2)ncn1', 'link': 'https://search.emolecules.com/search/#?querytype=emoleculesid&p=1&query=5943034'}, {'catalogName': 'mcule', 'catalogId': 'MCULE-3747234856', 'smiles': 'S(=O)(=O)(C1C=CC(=CC=1)NC1C=C(C)N=CN=1)NC1SC=CN=1', 'link': 'https://mcule.com/MCULE-3747234856'}]",Cc1cc(N(C(=O)Cc2cn(Cc3ccc(F)cc3)c3ccccc23)c2ccc(S(=O)(=O)Nc3nccs3)cc2)ncn1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.1383997861894909,295.3889999999997,Cc1cnc(NS(=O)(=O)c2ccc3c(c2)CCN3)s1,"[{'catalogName': 'emolecules', 'catalogId': '50059877', 'smiles': 'Cc1cnc(NS(=O)(=O)c2ccc3NCCc3c2)s1', 'link': 'https://search.emolecules.com/search/#?querytype=emoleculesid&p=1&query=50059877'}, {'catalogName': 'mcule', 'catalogId': 'MCULE-9333680673', 'smiles': 'S(=O)(=O)(C1C=CC2=C(CCN2)C=1)NC1SC(=CN=1)C', 'link': 'https://mcule.com/MCULE-9333680673'}]",Cc1cnc(NS(=O)(=O)c2ccc3c(c2)CCN3C(=O)Cc2cn(Cc3ccc(F)cc3)c3ccccc23)s1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.14220062338906547,354.45699999999977,CCC(C)(N)C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-9071938331', 'smiles': 'C(NC1=CC=C(C=C1)S(=O)(=O)NC1SC=CN=1)(=O)C(C)(CC)N', 'link': 'https://mcule.com/MCULE-9071938331'}]",CCC(C)(NC(=O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12)C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.15042074044452047,383.47999999999985,COCc1nnc(Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)s1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-8722616590', 'smiles': 'S(=O)(=O)(C1C=CC(=CC=1)NC1=NN=C(COC)S1)NC1SC=CN=1', 'link': 'https://mcule.com/MCULE-8722616590'}]",COCc1nnc(N(C(=O)Cc2cn(Cc3ccc(F)cc3)c3ccccc23)c2ccc(S(=O)(=O)Nc3nccs3)cc2)s1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.1582562757246824,347.42499999999984,Cc1ccnc(Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)n1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-5572622153', 'smiles': 'S(=O)(=O)(C1C=CC(=CC=1)NC1=NC=CC(C)=N1)NC1SC=CN=1', 'link': 'https://mcule.com/MCULE-5572622153'}]",Cc1ccnc(N(C(=O)Cc2cn(Cc3ccc(F)cc3)c3ccccc23)c2ccc(S(=O)(=O)Nc3nccs3)cc2)n1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.16120440858451815,340.4299999999998,NCCCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-6088276411', 'smiles': 'C(NC1=CC=C(C=C1)S(=O)(=O)NC1SC=CN=1)(CCCN)=O', 'link': 'https://mcule.com/MCULE-6088276411'}]",O=C(Cc1cn(Cc2ccc(F)cc2)c2ccccc12)NCCCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.16325497781548615,354.4569999999997,NCCCCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-3991951563', 'smiles': 'C(NC1=CC=C(C=C1)S(=O)(=O)NC1SC=CN=1)(CCCCN)=O', 'link': 'https://mcule.com/MCULE-3991951563'}]",O=C(Cc1cn(Cc2ccc(F)cc2)c2ccccc12)NCCCCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.17174108068399577,349.3969999999999,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1c[nH]cn1,"[{'catalogName': 'mcule_ultimate', 'catalogId': 'UYWLXXRRPDTCOZ-UHFFFAOYSA-N', 'smiles': 'C1=CC(=CC=C1NC(=O)C2=CNC=N2)S(=O)(=O)NC3=NC=CS3', 'link': 'https://ultimateapp.mcule.com/search/?t=exact&q=UYWLXXRRPDTCOZ-UHFFFAOYSA-N'}]",O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1cn(C(=O)Cc2cn(Cc3ccc(F)cc3)c3ccccc23)cn1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.17182888803430754,395.89299999999986,O=S(=O)(Nc1nccs1)c1ccc(NCc2cc(Cl)ccc2O)cc1,"[{'catalogName': 'molport', 'catalogId': 'MolPort-002-001-016', 'smiles': 'Oc1ccc(Cl)cc1CNc1ccc(cc1)S(=O)(=O)Nc1nccs1', 'link': 'https://www.molport.com/shop/molecule-link/MolPort-002-001-016'}, {'catalogName': 'surechembl', 'catalogId': 'SCHEMBL16646114', 'smiles': 'C1=CC(=CC=C1NCC2=CC(=CC=C2O)Cl)S(=O)(=O)NC3=NC=CS3', 'link': 'https://www.surechembl.org/chemical/SCHEMBL16646114/'}]",O=C(Cc1cn(Cc2ccc(F)cc2)c2ccccc12)N(Cc1cc(Cl)ccc1O)c1ccc(S(=O)(=O)Nc2nccs2)cc1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.1758010713279707,326.4029999999998,CNCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-3743417355', 'smiles': 'C(NC1=CC=C(C=C1)S(=O)(=O)NC1SC=CN=1)(CNC)=O', 'link': 'https://mcule.com/MCULE-3743417355'}]",CN(CC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)C(=O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.1763819340491653,418.49999999999983,CC(=O)c1c(C)[nH]c(C(=O)Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)c1C,"[{'catalogName': 'enamine_bb', 'catalogId': 'Z30537939', 'smiles': 'CC(=O)c1c(C)[nH]c(C(=O)Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)c1C', 'link': 'https://www.enaminestore.com/catalog/Z30537939'}]",CC(=O)c1c(C)c(C(=O)Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)n(C(=O)Cc2cn(Cc3ccc(F)cc3)c3ccccc23)c1C
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.18381048808632205,348.4089999999999,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1ccc[nH]1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-7942537234', 'smiles': 'S(=O)(=O)(C1=CC=C(C=C1)NC(=O)C1=CC=CN1)NC1SC=CN=1', 'link': 'https://mcule.com/MCULE-7942537234'}]",O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1cccn1C(=O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.1941663877367371,347.4249999999998,Cc1ccc(Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)nn1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-3513616393', 'smiles': 'S(=O)(=O)(C1C=CC(=CC=1)NC1C=CC(=NN=1)C)NC1SC=CN=1', 'link': 'https://mcule.com/MCULE-3513616393'}]",Cc1ccc(N(C(=O)Cc2cn(Cc3ccc(F)cc3)c3ccccc23)c2ccc(S(=O)(=O)Nc3nccs3)cc2)nn1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.198598725350128,349.3969999999999,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1cn[nH]c1,"[{'catalogName': 'mcule_ultimate', 'catalogId': 'CHTSWXSQBFOVEN-UHFFFAOYSA-N', 'smiles': 'C1=CC(=CC=C1NC(=O)C2=CNN=C2)S(=O)(=O)NC3=NC=CS3', 'link': 'https://ultimateapp.mcule.com/search/?t=exact&q=CHTSWXSQBFOVEN-UHFFFAOYSA-N'}]",O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1cnn(C(=O)Cc2cn(Cc3ccc(F)cc3)c3ccccc23)c1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.20218691446308132,349.3969999999999,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1cc[nH]n1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-7364085768', 'smiles': 'S(=O)(=O)(C1=CC=C(C=C1)NC(=O)C1C=CNN=1)NC1SC=CN=1', 'link': 'https://mcule.com/MCULE-7364085768'}, {'catalogName': 'mcule_ultimate', 'catalogId': 'CQUGWEHFZQWUED-UHFFFAOYSA-N', 'smiles': 'C1=CC(=CC=C1NC(=O)C2=CC=NN2)S(=O)(=O)NC3=NC=CS3', 'link': 'https://ultimateapp.mcule.com/search/?t=exact&q=CQUGWEHFZQWUED-UHFFFAOYSA-N'}]",O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1ccn(C(=O)Cc2cn(Cc3ccc(F)cc3)c3ccccc23)n1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.20291419824473828,354.45699999999977,CCCC(N)C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-6128262348', 'smiles': 'C(NC1=CC=C(C=C1)S(=O)(=O)NC1SC=CN=1)(C(CCC)N)=O', 'link': 'https://mcule.com/MCULE-6128262348'}]",CCCC(NC(=O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12)C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.20469943167947885,352.4409999999998,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)[C@@H]1CCCN1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-9909157590', 'smiles': 'C(NC1=CC=C(C=C1)S(=O)(=O)NC1SC=CN=1)(=O)[C@@H]1CCCN1', 'link': 'https://mcule.com/MCULE-9909157590'}]",O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)[C@@H]1CCCN1C(=O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.20474206370088044,399.45699999999994,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1n[nH]c2ccccc12,"[{'catalogName': 'enamine_bb', 'catalogId': 'Z32082960', 'smiles': 'O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1n[nH]c2ccccc12', 'link': 'https://www.enaminestore.com/catalog/Z32082960'}]",O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1nn(C(=O)Cc2cn(Cc3ccc(F)cc3)c3ccccc23)c2ccccc12
0.0,283.100856908,O=C(O)Cc1cn(Cc2ccc(F)cc2)c2ccccc12,,0.21208074204443506,326.4029999999998,NCCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,"[{'catalogName': 'mcule', 'catalogId': 'MCULE-3236923055', 'smiles': 'C(NC1=CC=C(C=C1)S(=O)(=O)NC1SC=CN=1)(CCN)=O', 'link': 'https://mcule.com/MCULE-3236923055'}]",O=C(Cc1cn(Cc2ccc(F)cc2)c2ccccc12)NCCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
