1_r1_smiles,1_r2_smiles,1_reaction,2_r1_smiles,2_r2_smiles,2_reaction,3_r1_smiles,3_reaction,4_r1_smiles,4_r2_smiles,4_reaction,compound_set,date,error_message,error_type,hit1,hit2,inchi_key,input_num,num_placed,num_successful,route_uuid,smiles,template,time,to_hippo,total_num_products_enumstereo,total_num_unique_products,hit1_short,hit2_short,placed,datetime,num_steps
NC1CCC(=O)NC1,NC(=O)c1ccc(C(=O)O)c(Cl)c1,Amidation,,,,,,,,,cx1371a-cx0300a,2024-09-03,,,CHIKV_MacB-x1371_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0300_A_401_CHIKV_MacB-x0300+A+401+1,SMVDAYWKXWVCAN-MRVPVSSYSA-N,44.0,284.0,173.0,32fgo7,NC(=O)c1ccc(C(=O)N[C@@H]2CCC(=O)NC2)c(Cl)c1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1802.0,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac/SMVDAYWKXWVCAN-MRVPVSSYSA-N/SMVDAYWKXWVCAN-MRVPVSSYSA-N_32fgo7_to_hippo.pkl.gz,2546.0,994.0,cx1371a,cx0300a,True,2024-09-03 18:02:00,1.0
,,,,,,,,,,,cx0732a-cx0300a,2024-09-03,No routes found for CN(C(=O)c1cn[nH]c1)[C@H]1C[C@H](O)NC[C@@H]1NC(=O)c1cscn1.,NoSynthesisRoute,CHIKV_MacB-x0732_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0300_A_401_CHIKV_MacB-x0300+A+401+1,LDWRVYYEBGYWCU-DLOVCJGASA-N,30.0,,,,CN(C(=O)c1cn[nH]c1)[C@H]1C[C@H](O)NC[C@@H]1NC(=O)c1cscn1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1740.0,,,,cx0732a,cx0300a,False,2024-09-03 17:40:00,0.0
,,,,,,,,,,,cx0864a-cx1194a,2024-09-03,Reactant could not be matched to only reactant SMARTS in reaction.,SMARTSError,CHIKV_MacB-x0864_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1194_A_305_CHIKV_MacB-x0300+A+401+1,FRDQNWGIXVNQRB-UHFFFAOYSA-N,73.0,,,,Cc1cc2c(c(C)c1-c1cc[nH]n1)N(C)CO2,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1802.0,,,,cx0864a,cx1194a,False,2024-09-03 18:02:00,0.0
,,,,,,,,,,,cx0316a-cx1406a,2024-09-03,No routes found for C[C@H](c1ccc(N)nc1)c1nc(Cn2ccccc2=O)no1.,NoSynthesisRoute,CHIKV_MacB-x1406_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0316_C_304_CHIKV_MacB-x0300+A+401+1,DEYCAJGWGSVJCX-SNVBAGLBSA-N,18.0,,,,C[C@H](c1ccc(N)nc1)c1nc(Cn2ccccc2=O)no1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1734.0,,,,cx1406a,cx0316a,False,2024-09-03 17:34:00,0.0
Nc1ccccc1,COC(=O)c1cccc2c(C(=O)O)c[nH]c12,Amidation,COC(=O)c1cccc2c(C(=O)Nc3ccccc3)c[nH]c12,CN,Ester_amidation,,,,,,cx0692a-cx0399b,2024-09-04,,,CHIKV_MacB-x0692_C_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0399_A_402_CHIKV_MacB-x0300+A+401+1,RTRFWLCSCBITKB-UHFFFAOYSA-N,277.0,10000.0,9780.0,6PQWWH,CNC(=O)c1cccc2c(C(=O)Nc3ccccc3)c[nH]c12,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0270a_apo-desolv.pdb,1523.0,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac/RTRFWLCSCBITKB-UHFFFAOYSA-N/RTRFWLCSCBITKB-UHFFFAOYSA-N_6PQWWH_to_hippo.pkl.gz,12100.0,10600.0,cx0692a,cx0399b,True,2024-09-04 15:23:00,2.0
,,,,,,,,,,,cx0892a-cx0281a_copy,2024-09-04,No routes found for Cn1nccc1C(=O)NC[C@@H]1CC[C@@]2(NCNN2)S1.,NoSynthesisRoute,CHIKV_MacB-x0892_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0281_C_304_CHIKV_MacB-x0300+A+401+1,ZNHLZZKVXUVQKY-KWQFWETISA-N,126.0,,,,Cn1nccc1C(=O)NC[C@@H]1CC[C@@]2(NCNN2)S1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,848.0,,,,cx0892a,cx0281a,False,2024-09-04 08:48:00,0.0
,,,,,,,,,,,cx0300a-cx1132a,2024-09-04,No atoms found involved in reaction Sp2-sp2_Suzuki_coupling in mol O=C1CCC(NC(=O)c2csc(I)n2)CN1 and CC1(C)OB(c2ccnc(N)n2)OC1(C)C,SMARTSError,CHIKV_MacB-x0300_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1132_A_305_CHIKV_MacB-x0300+A+401+1,IZFVORVORBSXRM-SSDOTTSWSA-N,193.0,,,,Nc1nccc(-c2nc(C(=O)N[C@@H]3CCC(=O)NC3)cs2)n1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,922.0,,,,cx0300a,cx1132a,False,2024-09-04 09:22:00,0.0
,,,,,,,,,,,cx1431a-cx1076a,2024-09-04,No attachment points found for reaction N-Boc_deprotection,ReactionError,CHIKV_MacB-x1076_B_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x1431_B_304_CHIKV_MacB-x0300+A+401+1,MBTYRZDRPHSJJS-UHFFFAOYSA-N,244.0,,,,Nc1cnc2c(Br)cccc2c1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,947.0,,,,cx1076a,cx1431a,False,2024-09-04 09:47:00,0.0
O=C(O)COc1cccc(F)c1,CNCc1cccc(O)n1,Amidation,,,,,,,,,cx0540a-cx1118a,2024-09-04,,,CHIKV_MacB-x1118_A_304_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0540_C_401_CHIKV_MacB-x0300+A+401+1,MNLAWAQYKQVGLK-UHFFFAOYSA-N,134.0,1542.0,1276.0,qehMd6,CN(Cc1cccc(O)n1)C(=O)COc1cccc(F)c1,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,1007.0,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac/MNLAWAQYKQVGLK-UHFFFAOYSA-N/MNLAWAQYKQVGLK-UHFFFAOYSA-N_qehMd6_to_hippo.pkl.gz,2300.0,1343.0,cx1118a,cx0540a,True,2024-09-04 10:07:00,1.0
,,,,,,,,,,,cx0404a-cx0394a,2024-09-04,No routes found for COCc1onc(C(N)=O)c1C(F)F.,NoSynthesisRoute,CHIKV_MacB-x0404_A_401_CHIKV_MacB-x0300+A+401+1,CHIKV_MacB-x0394_D_304_CHIKV_MacB-x0300+A+401+1,INXKNUPVWKJHJT-UHFFFAOYSA-N,100.0,,,,COCc1onc(C(N)=O)c1C(F)F,/opt/xchem-fragalysis-2/kfieseler/CHIKV-Mac-syndirella-run/fragments/templates/cx0300a_apo-desolv.pdb,835.0,,,,cx0404a,cx0394a,False,2024-09-04 08:35:00,0.0
