1_r1_smiles,1_r2_smiles,1_reaction,2_r1_smiles,2_r2_smiles,2_reaction,compound_set,date,error_message,error_type,hit1,hit2,inchi_key,input_num,num_placed,num_successful,route_uuid,smiles,template,time,to_hippo,total_num_products_enumstereo,total_num_unique_products
CCS(=O)(=O)NCC1CN(Cc2ccccc2)Cc2ccnn21,,N-Bn_deprotection,O=Cc1cccc2[nH]ccc12,CCS(=O)(=O)NCC1CNCc2ccnn21,Reductive_amination,x1140_0A-x0130_0A_104-P,20240927,,,D68EV3CPROA-x1140_0A,D68EV3CPROA-x0130_0A,RFEOJHJQZBTGML-UHFFFAOYSA-N,330,2200.0,0.0,K3EKC4,CCS(=O)(=O)NCC1CN(Cc2cccc3[nH]ccc23)Cc2ccnn21,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x0130_0A_apo-desolv.pdb,0116,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/RFEOJHJQZBTGML-UHFFFAOYSA-N/RFEOJHJQZBTGML-UHFFFAOYSA-N_K3EKC4_to_hippo.pkl.gz,2200.0,566.0
O=C(O)CSc1nnc2ccccn12,Nc1ccc2c(c1)OCO2,Amidation,,,,x1594_0A-x1140_0A_118-P,20240925,,,D68EV3CPROA-x1594_0A,D68EV3CPROA-x1140_0A,IQUYEHFSOUMANR-UHFFFAOYSA-N,11,656.0,190.0,ofeeGY,O=C(CSc1nnc2ccccn12)Nc1ccc2c(c1)OCO2,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1594_0A_apo-desolv.pdb,1832,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/IQUYEHFSOUMANR-UHFFFAOYSA-N/IQUYEHFSOUMANR-UHFFFAOYSA-N_ofeeGY_to_hippo.pkl.gz,656.0,482.0
O=C(O)c1ccnc(CO)c1,NCCOc1ccc2c(c1)OCO2,Amidation,,,,x1498_0A-x1140_0A_487-P,20240925,,,D68EV3CPROA-x1498_0A,D68EV3CPROA-x1140_0A,JAMPYAWDSBNQSE-UHFFFAOYSA-N,117,325.0,66.0,maLcyD,O=C(NCCOc1ccc2c(c1)OCO2)c1ccnc(CO)c1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1498_0A_apo-desolv.pdb,1921,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/JAMPYAWDSBNQSE-UHFFFAOYSA-N/JAMPYAWDSBNQSE-UHFFFAOYSA-N_maLcyD_to_hippo.pkl.gz,325.0,198.0
Clc1noc(-c2ccc3c(c2)OCO3)n1,Cc1nnc2ccc(B(O)O)cn12,Sp2-sp2_Suzuki_coupling,,,,x1594_0A-x2021_0A_90-P,20240929,,,D68EV3CPROA-x1594_0A,D68EV3CPROA-x2021_0A,SJLNXEFMEKPDCS-UHFFFAOYSA-N,377,1.0,1.0,tJGE3S,Cc1nnc2ccc(-c3noc(-c4ccc5c(c4)OCO5)n3)cn12,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1594_0A_apo-desolv.pdb,0709,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/SJLNXEFMEKPDCS-UHFFFAOYSA-N/SJLNXEFMEKPDCS-UHFFFAOYSA-N_tJGE3S_to_hippo.pkl.gz,1.0,1.0
O=C(O)c1ccc2c(c1)OCO2,Cc1ccn2c(N)nnc2c1,Amidation,,,,x1594_0A-x2021_0A_158-P,20240925,,,D68EV3CPROA-x1594_0A,D68EV3CPROA-x2021_0A,NHWZCVJNUFHPIM-UHFFFAOYSA-N,120,30.0,0.0,9beCTW,Cc1ccn2c(NC(=O)c3ccc4c(c3)OCO4)nnc2c1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1594_0A_apo-desolv.pdb,1909,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/NHWZCVJNUFHPIM-UHFFFAOYSA-N/NHWZCVJNUFHPIM-UHFFFAOYSA-N_9beCTW_to_hippo.pkl.gz,30.0,30.0
c1ccn2c(C3CCCN3)nnc2c1,O=C(O)CCc1ccc2c(c1)OCO2,Amidation,,,,x1140_0A-x1594_0A_90-P,20240925,,,D68EV3CPROA-x1140_0A,D68EV3CPROA-x1594_0A,BFJZIIAAZLLLAB-UHFFFAOYSA-N,18,368.0,107.0,iDVE7z,O=C(CCc1ccc2c(c1)OCO2)N1CCCC1c1nnc2ccccn12,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1140_0A_apo-desolv.pdb,1909,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/BFJZIIAAZLLLAB-UHFFFAOYSA-N/BFJZIIAAZLLLAB-UHFFFAOYSA-N_iDVE7z_to_hippo.pkl.gz,368.0,84.0
,,,,,,x1140_0A-x2099_0A_275-P,20240925,Scaffold could not be minimised.,ScaffoldPlacementError,D68EV3CPROA-x1140_0A,D68EV3CPROA-x2099_0A,JCQQZEPALOSOET-UHFFFAOYSA-N,163,,,,O=C(Nc1cccnc1)N(Cc1ccc2c(c1)OCO2)C1CCCC1,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x2099_0A_apo-desolv.pdb,1930,,,
Cc1cc(N)no1,CCCC(N)c1nnc2ccccn12,Formation_of_urea_from_two_amines,,,,x1052_1A-x1594_0A_348-P,20240927,,,D68EV3CPROA-x1052_1A,D68EV3CPROA-x1594_0A,GQMVCSYHDPOABB-UHFFFAOYSA-N,280,852.0,0.0,AEY29N,CCCC(NC(=O)Nc1cc(C)on1)c1nnc2ccccn12,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1052_1A_apo-desolv.pdb,0134,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/GQMVCSYHDPOABB-UHFFFAOYSA-N/GQMVCSYHDPOABB-UHFFFAOYSA-N_AEY29N_to_hippo.pkl.gz,852.0,357.0
O=C(O)c1cnco1,CC(CN)CNC(=O)c1cccc2c1OCO2,Amidation,,,,x1140_0A-x1498_0A_497-I,20240930,,,D68EV3CPROA-x1140_0A,D68EV3CPROA-x1498_0A,DFLKDLSWUAWCKM-UHFFFAOYSA-N,602,214.0,95.0,dRkDeq,CC(CNC(=O)c1cnco1)CNC(=O)c1cccc2c1OCO2,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1498_0A_apo-desolv.pdb,0151,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/DFLKDLSWUAWCKM-UHFFFAOYSA-N/DFLKDLSWUAWCKM-UHFFFAOYSA-N_dRkDeq_to_hippo.pkl.gz,214.0,104.0
c1csc(CNc2ccc3c(c2)OCCO3)c1,O=C(O)CSc1nnc2ccccn12,Amidation,,,,x1594_0A-x2021_0A_268-I,20240929,,,D68EV3CPROA-x1594_0A,D68EV3CPROA-x2021_0A,AWPWQJREQZSABS-UHFFFAOYSA-N,643,21.0,3.0,vCeDgZ,O=C(CSc1nnc2ccccn12)N(Cc1cccs1)c1ccc2c(c1)OCCO2,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-syndirella-run/fragments/templates/D68EV3CPROA-x1594_0A_apo-desolv.pdb,0018,/opt/xchem-fragalysis-2/kfieseler/EV-D68-3C-PROA-run2/AWPWQJREQZSABS-UHFFFAOYSA-N/AWPWQJREQZSABS-UHFFFAOYSA-N_vCeDgZ_to_hippo.pkl.gz,21.0,18.0
