,r1_smiles,r1_mol,r2_smiles,r2_mol,smiles_x,num_atom_diff,name,reaction,step,total_steps,base_compound,conformer,error,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,regarded,LE,percent_hybrid,largest_ring,N_HA,N_rotatable_bonds,outcome
0,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x177e5b580>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x177e87b30>,c1cc[12c](-c2cccc3cc[nH]c23)nc1,0,KFKUHRDIQZWKPK-UHFFFAOYSA-N-base-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,,-6.573759732297715,-6.416307839469661,0.1574518928280541,0.46676669001729054,13.0,2.0,['A71EV2A-x0566_0A'],0.43825064881984765,0.0,6.0,15.0,1.0,acceptable
1,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x177e5b580>,Cn1ccc2cccc(B(O)O)c21,<rdkit.Chem.rdchem.Mol object at 0x177e874a0>,Cn1ccc2cccc(-[12c]3ccccn3)c21,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-1-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,,-1.9938693389626556,-2.0467728886191883,-0.05290354965653262,0.812527848798034,13.0,3.0,['A71EV2A-x0566_0A'],0.12461683368516598,0.0,6.0,16.0,2.0,acceptable
2,Sc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x177e5beb0>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x177e87b30>,Sc1cccnc1-c1cccc2cc[nH]c12,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-2-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,,-6.471948575409972,-6.312812324945629,0.15913625046434365,0.8321254113720198,13.0,3.0,['A71EV2A-x0566_0A'],0.4044967859631233,0.0,6.0,16.0,2.0,acceptable
3,Nc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x177e5b660>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x177e87b30>,Nc1cccc(-c2cccc3cc[nH]c23)n1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-3-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,,,,,,,,,,,,,,
4,Sc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x177e5b820>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x177e87b30>,Sc1ccc(-c2cccc3cc[nH]c23)nc1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-4-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,,,,,,,,,,,,,,
5,[O-][n+]1ccccc1Br,<rdkit.Chem.rdchem.Mol object at 0x177e5bb30>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x177e87b30>,[O-][n+]1ccccc1-c1cccc2cc[nH]c12,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-5-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,,,,,,,,,,,,,,
6,Bc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x177e5b6d0>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x177e87b30>,Bc1ccnc(-c2cccc3cc[nH]c23)c1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-6-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,,,,,,,,,,,,,,
7,Oc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x177e5bc80>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x177e87b30>,Oc1cccnc1-c1cccc2cc[nH]c12,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-7-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,,,,,,,,,,,,,,
8,Bc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x294100190>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x177e87b30>,Bc1ccc(-c2cccc3cc[nH]c23)nc1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-8-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,,,,,,,,,,,,,,
9,O=c1cccc(Br)[nH]1,<rdkit.Chem.rdchem.Mol object at 0x294100900>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x177e87b30>,O=c1cccc(-c2cccc3cc[nH]c23)[nH]1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-9-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,,,,,,,,,,,,,,
