,r1_smiles,r1_mol,r2_smiles,r2_mol,smiles,num_atom_diff,name,reaction,step,total_steps,base_compound,conformer
0,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x14f41a040>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,c1cc[12c](-c2cccc3cc[nH]c23)nc1,0,KFKUHRDIQZWKPK-UHFFFAOYSA-N-base-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
1,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x14f41a040>,Cn1ccc2cccc(B(O)O)c21,<rdkit.Chem.rdchem.Mol object at 0x16c700270>,Cn1ccc2cccc(-[12c]3ccccn3)c21,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-1-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
2,Brc1cc(I)ccn1,<rdkit.Chem.rdchem.Mol object at 0x14f41a4a0>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Ic1ccnc(-c2cccc3cc[nH]c23)c1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-2-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
3,Nc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x14f41a5f0>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Nc1cccc(-c2cccc3cc[nH]c23)n1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-3-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
4,Oc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x14f41af90>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Oc1ccc(-c2cccc3cc[nH]c23)nc1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-4-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
5,Sc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x14f41a510>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Sc1cccnc1-c1cccc2cc[nH]c12,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-5-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
6,Oc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x14f41a2e0>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Oc1cccnc1-c1cccc2cc[nH]c12,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-6-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
7,[Li]c1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x16c04f740>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,[Li]c1cccc(-c2cccc3cc[nH]c23)n1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-7-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
8,Brc1cccc(I)n1,<rdkit.Chem.rdchem.Mol object at 0x14f41a9e0>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Ic1cccc(-c2cccc3cc[nH]c23)n1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-8-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
9,Clc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x16c04f270>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Brc1cccc(-c2cccc3cc[nH]c23)n1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-9-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
10,Brc1ncccc1I,<rdkit.Chem.rdchem.Mol object at 0x14f41a660>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Ic1cccnc1-c1cccc2cc[nH]c12,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-10-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
11,Cc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x14f41a740>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Cc1cccc(-c2cccc3cc[nH]c23)n1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-11-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
12,Brc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x16c04f510>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Brc1cccc(-c2cccc3cc[nH]c23)n1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-12-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
13,Fc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x14f41a0b0>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Brc1cccc(-c2cccc3cc[nH]c23)n1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-13-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
14,Bc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x14f41a3c0>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Bc1cccc(-c2cccc3cc[nH]c23)n1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-14-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
15,Sc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x14f41a7b0>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Sc1ccc(-c2cccc3cc[nH]c23)nc1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-15-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
16,Nc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41a270>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Nc1ccnc(-c2cccc3cc[nH]c23)c1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-16-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
17,Bc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x14f41aa50>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Bc1ccc(-c2cccc3cc[nH]c23)nc1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-17-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
18,O=c1cccc(Br)[nH]1,<rdkit.Chem.rdchem.Mol object at 0x16c04f190>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,O=c1cccc(-c2cccc3cc[nH]c23)[nH]1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-18-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
19,[Li]c1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x14f41aba0>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,[Li]c1ccc(-c2cccc3cc[nH]c23)nc1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-19-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
20,Nc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x14f41a900>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Nc1cccnc1-c1cccc2cc[nH]c12,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-20-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
21,Oc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x14f41a580>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Oc1cccc(-c2cccc3cc[nH]c23)n1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-21-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
22,Sc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x14f41a200>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Sc1cccc(-c2cccc3cc[nH]c23)n1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-22-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
23,Brc1ccc(I)cn1,<rdkit.Chem.rdchem.Mol object at 0x14f41ab30>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Ic1ccc(-c2cccc3cc[nH]c23)nc1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-23-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
24,Cc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x14f41aac0>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Cc1cccnc1-c1cccc2cc[nH]c12,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-24-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
25,[O-][n+]1ccccc1Br,<rdkit.Chem.rdchem.Mol object at 0x14f41a190>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,[O-][n+]1ccccc1-c1cccc2cc[nH]c12,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-25-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
26,Sc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41a890>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Sc1ccnc(-c2cccc3cc[nH]c23)c1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-26-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
27,C[n+]1ccccc1Br,<rdkit.Chem.rdchem.Mol object at 0x14f41a430>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,C[n+]1ccccc1-c1cccc2cc[nH]c12,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-27-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
28,Nc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x14f41a820>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Nc1ccc(-c2cccc3cc[nH]c23)nc1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-28-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
29,Bc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41a6d0>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Bc1ccnc(-c2cccc3cc[nH]c23)c1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-29-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
30,[Li]c1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x16c04f820>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,[Li]c1cccnc1-c1cccc2cc[nH]c12,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-30-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
31,Cc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41a350>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Cc1ccnc(-c2cccc3cc[nH]c23)c1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-31-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
32,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x14f41a040>,Cc1cc2cccc(B(O)O)c2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x16c700b30>,Cc1cc2cccc(-[12c]3ccccn3)c2[nH]1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-32-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
33,Oc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41ad60>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Oc1ccnc(-c2cccc3cc[nH]c23)c1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-33-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
34,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x14f41a040>,OB(O)c1cccc2cc(O)[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c700ac0>,Oc1cc2cccc(-[12c]3ccccn3)c2[nH]1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-34-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
35,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x14f41a040>,Cc1c[nH]c2c(B(O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x16c700c80>,Cc1c[nH]c2c(-[12c]3ccccn3)cccc12,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-35-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
36,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x14f41a040>,Cc1ccc2cc[nH]c2c1B(O)O,<rdkit.Chem.rdchem.Mol object at 0x16c700660>,Cc1ccc2cc[nH]c2c1-[12c]1ccccn1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-36-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
37,Cc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x14f41a970>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Cc1ccc(-c2cccc3cc[nH]c23)nc1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-37-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
38,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x14f41a040>,Nc1cc2cccc(B(O)O)c2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x16c700890>,Nc1cc2cccc(-[12c]3ccccn3)c2[nH]1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-38-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
39,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x14f41a040>,Cc1ccc(B(O)O)c2[nH]ccc12,<rdkit.Chem.rdchem.Mol object at 0x16c7002e0>,Cc1ccc(-[12c]2ccccn2)c2[nH]ccc12,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N-39-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
40,Sc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x14f41a200>,Cc1c[nH]c2c(B(O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x16c700c80>,Cc1c[nH]c2c(-c3cccc(S)n3)cccc12,2,KFKUHRDIQZWKPK-UHFFFAOYSA-N-40-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
41,Brc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x16c04f510>,Cc1cc2cccc(B(O)O)c2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x16c700b30>,Cc1cc2cccc(-c3cccc(Br)n3)c2[nH]1,2,KFKUHRDIQZWKPK-UHFFFAOYSA-N-41-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
42,Cc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41a350>,Cc1ccc(B(O)O)c2[nH]ccc12,<rdkit.Chem.rdchem.Mol object at 0x16c7002e0>,Cc1ccnc(-c2ccc(C)c3cc[nH]c23)c1,2,KFKUHRDIQZWKPK-UHFFFAOYSA-N-42-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
43,Bc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x14f41aa50>,Cc1c[nH]c2c(B(O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x16c700c80>,Bc1ccc(-c2cccc3c(C)c[nH]c23)nc1,2,KFKUHRDIQZWKPK-UHFFFAOYSA-N-43-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
44,Fc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41ac80>,Cc1ccc2cc[nH]c2c1B(O)O,<rdkit.Chem.rdchem.Mol object at 0x16c700660>,Cc1ccc2cc[nH]c2c1-c1ccnc(Br)c1,2,KFKUHRDIQZWKPK-UHFFFAOYSA-N-44-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
45,Fc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41ac80>,OB(O)c1cccc2cc[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c7005f0>,Brc1cc(-c2cccc3cc[nH]c23)ccn1,2,KFKUHRDIQZWKPK-UHFFFAOYSA-N-45-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
46,Cc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41a350>,OB(O)c1cccc2cc(O)[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c700ac0>,Cc1ccnc(-c2cccc3cc(O)[nH]c23)c1,2,KFKUHRDIQZWKPK-UHFFFAOYSA-N-46-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
47,Nc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41a270>,Cn1ccc2cccc(B(O)O)c21,<rdkit.Chem.rdchem.Mol object at 0x16c700270>,Cn1ccc2cccc(-c3cc(N)ccn3)c21,2,KFKUHRDIQZWKPK-UHFFFAOYSA-N-47-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
48,Brc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x16c04f510>,Cc1c[nH]c2c(B(O)O)cccc12,<rdkit.Chem.rdchem.Mol object at 0x16c700c80>,Cc1c[nH]c2c(-c3cccc(Br)n3)cccc12,2,KFKUHRDIQZWKPK-UHFFFAOYSA-N-48-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
49,Bc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x14f41aa50>,Cc1cc2cccc(B(O)O)c2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x16c700b30>,Bc1ccc(-c2cccc3cc(C)[nH]c23)nc1,2,KFKUHRDIQZWKPK-UHFFFAOYSA-N-49-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
50,Bc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x14f41aa50>,OB(O)c1cccc2cc(O)[nH]c12,<rdkit.Chem.rdchem.Mol object at 0x16c700ac0>,Bc1ccc(-c2cccc3cc(O)[nH]c23)nc1,2,KFKUHRDIQZWKPK-UHFFFAOYSA-N-50-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
51,Cc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41a350>,Nc1cc2cccc(B(O)O)c2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x16c700890>,Cc1ccnc(-c2cccc3cc(N)[nH]c23)c1,2,KFKUHRDIQZWKPK-UHFFFAOYSA-N-51-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
52,Cc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41a350>,Cc1cc2cccc(B(O)O)c2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x16c700b30>,Cc1ccnc(-c2cccc3cc(C)[nH]c23)c1,2,KFKUHRDIQZWKPK-UHFFFAOYSA-N-52-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
53,Bc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x14f41aa50>,Nc1cc2cccc(B(O)O)c2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x16c700890>,Bc1ccc(-c2cccc3cc(N)[nH]c23)nc1,2,KFKUHRDIQZWKPK-UHFFFAOYSA-N-53-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
54,Bc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x14f41aa50>,Cc1ccc2cc[nH]c2c1B(O)O,<rdkit.Chem.rdchem.Mol object at 0x16c700660>,Bc1ccc(-c2c(C)ccc3cc[nH]c23)nc1,2,KFKUHRDIQZWKPK-UHFFFAOYSA-N-54-A,Sp2-sp2_Suzuki_coupling,1,1,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A
