,bad_expansion,base_compound,conformer,expanded_on_atom_0,expanded_on_atom_1,expanded_on_atom_14,expanded_on_atom_2,expanded_on_atom_5,expanded_on_atom_6,good_expansion,name,num_atom_diff,r1_mol,r1_smiles,r2_mol,r2_smiles,reaction,smiles_x,step,total_steps,error,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,regarded,LE,percent_hybrid,largest_ring,N_HA,N_rotatable_bonds,outcome
0,,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,False,False,False,False,False,False,,KFKUHRDIQZWKPK-UHFFFAOYSA-N-base-A,0,<rdkit.Chem.rdchem.Mol object at 0x177cc2680>,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,c1cc[12c](-c2cccc3cc[nH]c23)nc1,1,1,,-6.566183225143255,-6.408731332315201,0.1574518928280541,0.4665622115827619,13.0,2.0,['A71EV2A-x0566_0A'],0.43774554834288365,0.0,6.0,15.0,1.0,acceptable
1,,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,False,False,False,False,False,False,,KFKUHRDIQZWKPK-UHFFFAOYSA-N-1-A,1,<rdkit.Chem.rdchem.Mol object at 0x177cc2680>,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x29239e900>,Cn1ccc2cccc(B(O)O)c21,Sp2-sp2_Suzuki_coupling,Cn1ccc2cccc(-[12c]3ccccn3)c21,1,1,,-1.9987629980827675,-2.0516665477393,-0.05290354965653262,0.8115338069397543,13.0,3.0,['A71EV2A-x0566_0A'],0.12492268738017297,0.0,6.0,16.0,2.0,acceptable
2,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,False,False,True,False,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-2-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7c680>,Nc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,Nc1cccc(-c2cccc3cc[nH]c23)n1,1,1,,-5.975094903045275,-5.2627962135110105,0.7122986895342649,0.433166254423611,13.0,3.0,['A71EV2A-x0566_0A'],0.3734434314403297,0.0,6.0,16.0,2.0,acceptable
3,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,True,False,False,False,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-3-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7c7c0>,Bc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,Bc1ccc(-c2cccc3cc[nH]c23)nc1,1,1,AttributeError 'NoneType' object has no attribute 'Initialize',,,,,,,[],,,0.0,0.0,0.0,crashed
4,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,False,False,False,True,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-4-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7c900>,Brc1ncccc1I,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,Ic1cccnc1-c1cccc2cc[nH]c12,1,1,,-3.914861535714095,-3.427788374185506,0.48707316152858865,0.5948899170312658,13.0,3.0,['A71EV2A-x0566_0A'],0.24467884598213094,0.0,6.0,16.0,1.0,acceptable
5,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,True,False,False,False,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-5-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7c3b0>,Sc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,Sc1ccc(-c2cccc3cc[nH]c23)nc1,1,1,,-7.35190949081138,-6.883849442938994,0.46806004787238686,0.5716922587251814,13.0,3.0,['A71EV2A-x0566_0A'],0.45949434317571125,0.0,6.0,16.0,2.0,acceptable
6,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,False,False,True,False,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-6-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7c810>,Cc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,Cc1cccc(-c2cccc3cc[nH]c23)n1,1,1,,-8.341941767095534,-7.8806629180448375,0.4612788490506969,0.46608963418916227,13.0,3.0,['A71EV2A-x0566_0A'],0.5213713604434709,0.0,6.0,16.0,2.0,acceptable
7,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,True,False,False,False,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-7-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7c220>,Nc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,Nc1ccc(-c2cccc3cc[nH]c23)nc1,1,1,,-4.540127963933966,-4.034702814371156,0.50542514956281,0.42446354351599735,13.0,3.0,['A71EV2A-x0566_0A'],0.28375799774587285,0.0,6.0,16.0,2.0,acceptable
8,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,False,True,False,False,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-8-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7cef0>,O=c1cc[nH]c(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,O=c1cc[nH]c(-c2cccc3cc[nH]c23)c1,1,1,,-4.694149712401738,-4.028373276971565,0.6657764354301727,0.47572828642034,13.0,3.0,['A71EV2A-x0566_0A'],0.2933843570251086,0.0,6.0,16.0,1.0,acceptable
9,False,KFKUHRDIQZWKPK-UHFFFAOYSA-N_base,A,False,False,False,True,False,False,True,KFKUHRDIQZWKPK-UHFFFAOYSA-N-9-A,1,<rdkit.Chem.rdchem.Mol object at 0x177e7c4a0>,Nc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x2923af770>,OB(O)c1cccc2cc[nH]c12,Sp2-sp2_Suzuki_coupling,Nc1cccnc1-c1cccc2cc[nH]c12,1,1,,-5.887437451596634,-5.153463945081183,0.7339735065154511,0.8360059281431308,13.0,3.0,['A71EV2A-x0566_0A'],0.36796484072478963,0.0,6.0,16.0,2.0,acceptable
