,r1_smiles,r1_mol,r1_Sp2-sp2_Suzuki_coupling,r2_Sp2-sp2_Suzuki_coupling
0,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x14f41a040>,True,False
1,Oc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x14f41a580>,True,False
2,Nc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x14f41a5f0>,True,False
3,Bc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41a6d0>,True,False
4,Fc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41ac80>,True,False
5,Fc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x14f41af20>,True,False
6,Sc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x14f41a7b0>,True,False
7,Nc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x14f41a820>,True,False
8,Nc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x14f41a900>,True,False
9,Oc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41ad60>,True,False
10,Oc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x14f41af90>,True,False
11,Fc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x14f41a0b0>,True,False
12,Fc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x14f41a120>,True,False
13,[O-][n+]1ccccc1Br,<rdkit.Chem.rdchem.Mol object at 0x14f41a190>,True,False
14,Sc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x14f41a200>,True,False
15,Nc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41a270>,True,False
16,Oc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x14f41a2e0>,True,False
17,Cc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x14f41a350>,True,False
18,Bc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x14f41a3c0>,True,False
19,C[n+]1ccccc1Br,<rdkit.Chem.rdchem.Mol object at 0x14f41a430>,True,False
20,Brc1cc(I)ccn1,<rdkit.Chem.rdchem.Mol object at 0x14f41a4a0>,True,False
