,r1_smiles,r1_mol,r1_Sp2-sp2_Suzuki_coupling,r2_Sp2-sp2_Suzuki_coupling
0,Br[12c]1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x177e5b580>,True,False
1,Oc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x177e5b5f0>,True,False
2,Nc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x177e5b660>,True,False
3,Bc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x177e5b6d0>,True,False
4,Fc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x177e5b740>,True,False
5,Fc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x177e5b7b0>,True,False
6,Sc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x177e5b820>,True,False
7,Nc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x177e5b890>,True,False
8,Nc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x177e5b900>,True,False
9,Oc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x177e5b970>,True,False
10,Oc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x177e5b9e0>,True,False
11,Fc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x177e5ba50>,True,False
12,Fc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x177e5bac0>,True,False
13,[O-][n+]1ccccc1Br,<rdkit.Chem.rdchem.Mol object at 0x177e5bb30>,True,False
14,Sc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x177e5bba0>,True,False
15,Nc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x177e5bc10>,True,False
16,Oc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x177e5bc80>,True,False
17,Cc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x177e5bcf0>,True,False
18,Bc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x177e5bd60>,True,False
19,C[n+]1ccccc1Br,<rdkit.Chem.rdchem.Mol object at 0x177e5bdd0>,True,False
20,Brc1cc(I)ccn1,<rdkit.Chem.rdchem.Mol object at 0x177e5be40>,True,False
21,Sc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x177e5beb0>,True,False
22,Brc1ncccc1I,<rdkit.Chem.rdchem.Mol object at 0x177e5bf20>,True,False
23,Cc1cccc(Br)n1,<rdkit.Chem.rdchem.Mol object at 0x177e5bf90>,True,False
24,Sc1ccnc(Br)c1,<rdkit.Chem.rdchem.Mol object at 0x294100040>,True,False
25,Cc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x2941000b0>,True,False
26,Brc1cccc(I)n1,<rdkit.Chem.rdchem.Mol object at 0x294100120>,True,False
27,Bc1ccc(Br)nc1,<rdkit.Chem.rdchem.Mol object at 0x294100190>,True,False
28,Cc1cccnc1Br,<rdkit.Chem.rdchem.Mol object at 0x294100200>,True,False
