,Unnamed: 0,smiles,name,inspiration_1,inspiration_2,REJECT,ORDER,SOLVENT,TRIM,CLASH,ACTION,BB1_name,BB2_name,BB1_smiles,BB2_smiles,reaction_type,NOTES,syndirella_name,fragmenstein_data
0,0,CCC[C@@H](C#N)C(=O)Nc1cc(C(F)(F)F)nn1-c1ccc(C)c(C)c1,BBS_AMU_001A,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0556_0A:Z1259207775,TRUE,FALSE,FALSE,FALSE,FALSE,REJECT,EN300-148497,EN300-232319,CCCC(C#N)C(=O)O,Cc1ccc(-n2nc(C(F)(F)F)cc2N)cc1C,Amidation,,steph-fragnetv2-Z2957505129-1-of-1-step-02806,"[{'Energy': {'bound': {'total_score': 519.5192597587185, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 649.5957524547886, 'unit': 'kcal/mol'}, 'apo': {'total_score': 405.6532422520861, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 243.9425102027025, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 113.86601750663303, 'unit': 'kcal/mol'}}, 'mRMSD': 1.7584632338061688, 'RMSDs': [1.6285033331921372, 1.993981728714926]}]"
1,1,Cc1cnccc1NC(=O)C1(C)CC1,BBS_AMU_002A,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0416_0A:Z71580604,FALSE,TRUE,FALSE,FALSE,FALSE,ORDER,EN300-185347,Z1263529539,CC1(C(=O)Cl)CC1,Cc1cnccc1N,Amide_Schotten-Baumann_with_amine,,steph-fragnetv2-113738-B1X-1-of-1-step-00004,"[{'Energy': {'bound': {'total_score': 404.4198060119653, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 409.7501420524764, 'unit': 'kcal/mol'}, 'apo': {'total_score': 396.22850041369674, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 13.521641638779663, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 8.191305598268666, 'unit': 'kcal/mol'}}, 'mRMSD': 0.686535142656132, 'RMSDs': [0.5379965397449675, 0.686535142656132]}]"
2,2,Cc1nccc(NC(=O)C2(C)CC2)c1C,BBS_AMU_003A,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0416_0A:Z71580604,FALSE,TRUE,FALSE,FALSE,FALSE,ORDER,EN300-185347,EN300-110878,CC1(C(=O)Cl)CC1,Cc1nccc(N)c1C,Amide_Schotten-Baumann_with_amine,,steph-fragnetv2-113738-B1X-1-of-1-step-00039,"[{'Energy': {'bound': {'total_score': 415.6650914751263, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 435.67258373653, 'unit': 'kcal/mol'}, 'apo': {'total_score': 398.83661726464715, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 36.83596647188285, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 16.82847421047979, 'unit': 'kcal/mol'}}, 'mRMSD': 0.6898868501999948, 'RMSDs': [0.6898868501999948, 0.6307912810615999]}]"
3,3,CCOC(=O)c1nn(C)c(NC(=O)[C@@H](N)C(F)(F)F)c1Br,BBS_AMU_004A,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0556_0A:Z1259207775,FALSE,FALSE,TRUE,TRUE,FALSE,TRIM,EN300-96746,EN300-6486464,NC(C(=O)O)C(F)(F)F,CCOC(=O)c1nn(C)c(N)c1Br,Amidation,,steph-fragnetv2-Z393051624-1-of-1-step-01676,"[{'Energy': {'bound': {'total_score': 582.2574857954395, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 617.660583596, 'unit': 'kcal/mol'}, 'apo': {'total_score': 514.6606009328161, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 102.99998266318389, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 67.59688486262357, 'unit': 'kcal/mol'}}, 'mRMSD': 0.41188568428586964, 'RMSDs': [0.4134568352718231, 0.4281646618014754]}]"
4,4,O=Cc1cnc(Cl)cc1NC(=O)[C@H]1CCCOC1,BBS_AMU_005A,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0416_0A:Z71580604,FALSE,FALSE,TRUE,TRUE,FALSE,TRIM,EN300-128862,EN300-178036,O=C(Cl)C1CCCOC1,Nc1cc(Cl)ncc1C=O,Amide_Schotten-Baumann_with_amine,,steph-fragnetv2-113738-B1X-1-of-1-step-01219,"[{'Energy': {'bound': {'total_score': 194.39819430935475, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 205.0650288598851, 'unit': 'kcal/mol'}, 'apo': {'total_score': 173.8769100910745, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 31.188118768810583, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 20.52128421828034, 'unit': 'kcal/mol'}}, 'mRMSD': 0.7945156332709034, 'RMSDs': [1.017304022722739, 0.6434836461512489]}]"
5,5,C[C@H](C#N)C(=O)Nc1cc(C(F)(F)F)nn1C,BBS_AMU_006A,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0556_0A:Z1259207775,FALSE,FALSE,TRUE,TRUE,FALSE,TRIM,EN300-72730,Z385401380,CC(C#N)C(=O)O,Cn1nc(C(F)(F)F)cc1N,Amidation,,steph-fragnetv2-Z4048800382-1-of-1-step-00003,"[{'Energy': {'bound': {'total_score': 494.5880419883889, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 532.8097637630028, 'unit': 'kcal/mol'}, 'apo': {'total_score': 416.6555005952623, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 116.15426316774047, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 77.93254139312758, 'unit': 'kcal/mol'}}, 'mRMSD': 1.608569593677208, 'RMSDs': [1.7041712674633211, 2.0345803067084365]}, {'Energy': {'bound': {'total_score': 494.4760615319024, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 516.3717365000721, 'unit': 'kcal/mol'}, 'apo': {'total_score': 414.81205144045924, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 101.5596850596128, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 79.66401009144485, 'unit': 'kcal/mol'}}, 'mRMSD': 1.599239313665253, 'RMSDs': [1.6899724241310465, 2.0402931698424323]}]"
6,6,C[C@@H](C#N)C(=O)Nc1cc(C(F)(F)F)nn1C,BBS_AMU_006B,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0556_0A:Z1259207775,FALSE,FALSE,TRUE,TRUE,FALSE,TRIM,EN300-72730,Z385401380,CC(C#N)C(=O)O,Cn1nc(C(F)(F)F)cc1N,Amidation,,steph-fragnetv2-Z4048800382-1-of-1-step-00003,"[{'Energy': {'bound': {'total_score': 494.5880419883889, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 532.8097637630028, 'unit': 'kcal/mol'}, 'apo': {'total_score': 416.6555005952623, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 116.15426316774047, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 77.93254139312758, 'unit': 'kcal/mol'}}, 'mRMSD': 1.608569593677208, 'RMSDs': [1.7041712674633211, 2.0345803067084365]}, {'Energy': {'bound': {'total_score': 494.4760615319024, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 516.3717365000721, 'unit': 'kcal/mol'}, 'apo': {'total_score': 414.81205144045924, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 101.5596850596128, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 79.66401009144485, 'unit': 'kcal/mol'}}, 'mRMSD': 1.599239313665253, 'RMSDs': [1.6899724241310465, 2.0402931698424323]}]"
7,7,Cc1cnc(Br)cc1NC(=O)[C@@H]1CCC[C@H](C)C1,BBS_AMU_007A,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0416_0A:Z71580604,FALSE,FALSE,TRUE,TRUE,FALSE,TRIM,EN300-244378,EN300-111688,CC1CCCC(C(=O)Cl)C1,Cc1cnc(Br)cc1N,Amide_Schotten-Baumann_with_amine,,steph-fragnetv2-113738-B1X-1-of-1-step-02014,"[{'Energy': {'bound': {'total_score': 394.81379838294583, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 404.1154823433758, 'unit': 'kcal/mol'}, 'apo': {'total_score': 371.97876822122765, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 32.136714122148156, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 22.8350301617191, 'unit': 'kcal/mol'}}, 'mRMSD': 0.4925753669866085, 'RMSDs': [0.4816955028679059, 0.4676286487582667]}, {'Energy': {'bound': {'total_score': 137.97643853352173, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 148.39030921821444, 'unit': 'kcal/mol'}, 'apo': {'total_score': 111.17377469162243, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 37.21653452659203, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 26.80266384189942, 'unit': 'kcal/mol'}}, 'mRMSD': 0.8738873377741677, 'RMSDs': [1.2150312665798808, 0.7670181566594595]}, {'Energy': {'bound': {'total_score': 386.59158592249184, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 392.2834157142296, 'unit': 'kcal/mol'}, 'apo': {'total_score': 367.48380349918665, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 24.79961221504295, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 19.10778242330547, 'unit': 'kcal/mol'}}, 'mRMSD': 0.4634812662635937, 'RMSDs': [0.44632505944068246, 0.437704404728322]}, {'Energy': {'bound': {'total_score': 164.4005004023993, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 167.66779281454518, 'unit': 'kcal/mol'}, 'apo': {'total_score': 136.4637134265838, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 31.204079387961357, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 27.936786975815497, 'unit': 'kcal/mol'}}, 'mRMSD': 0.8818354128621508, 'RMSDs': [1.223409316746896, 0.7692586243948539]}]"
8,8,Cc1cnc(Br)cc1NC(=O)[C@H]1CCC[C@H](C)C1,BBS_AMU_007B,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0416_0A:Z71580604,FALSE,FALSE,TRUE,TRUE,FALSE,TRIM,EN300-244378,EN300-111688,CC1CCCC(C(=O)Cl)C1,Cc1cnc(Br)cc1N,Amide_Schotten-Baumann_with_amine,,steph-fragnetv2-113738-B1X-1-of-1-step-02014,"[{'Energy': {'bound': {'total_score': 394.81379838294583, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 404.1154823433758, 'unit': 'kcal/mol'}, 'apo': {'total_score': 371.97876822122765, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 32.136714122148156, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 22.8350301617191, 'unit': 'kcal/mol'}}, 'mRMSD': 0.4925753669866085, 'RMSDs': [0.4816955028679059, 0.4676286487582667]}, {'Energy': {'bound': {'total_score': 137.97643853352173, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 148.39030921821444, 'unit': 'kcal/mol'}, 'apo': {'total_score': 111.17377469162243, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 37.21653452659203, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 26.80266384189942, 'unit': 'kcal/mol'}}, 'mRMSD': 0.8738873377741677, 'RMSDs': [1.2150312665798808, 0.7670181566594595]}, {'Energy': {'bound': {'total_score': 386.59158592249184, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 392.2834157142296, 'unit': 'kcal/mol'}, 'apo': {'total_score': 367.48380349918665, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 24.79961221504295, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 19.10778242330547, 'unit': 'kcal/mol'}}, 'mRMSD': 0.4634812662635937, 'RMSDs': [0.44632505944068246, 0.437704404728322]}, {'Energy': {'bound': {'total_score': 164.4005004023993, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 167.66779281454518, 'unit': 'kcal/mol'}, 'apo': {'total_score': 136.4637134265838, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 31.204079387961357, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 27.936786975815497, 'unit': 'kcal/mol'}}, 'mRMSD': 0.8818354128621508, 'RMSDs': [1.223409316746896, 0.7692586243948539]}]"
9,9,Cc1cnc(Br)cc1NC(=O)[C@@H]1CCC[C@@H](C)C1,BBS_AMU_007C,A71EV2A-x0310_0A:Z1688504114,A71EV2A-x0416_0A:Z71580604,FALSE,FALSE,TRUE,TRUE,FALSE,TRIM,EN300-244378,EN300-111688,CC1CCCC(C(=O)Cl)C1,Cc1cnc(Br)cc1N,Amide_Schotten-Baumann_with_amine,,steph-fragnetv2-113738-B1X-1-of-1-step-02014,"[{'Energy': {'bound': {'total_score': 394.81379838294583, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 404.1154823433758, 'unit': 'kcal/mol'}, 'apo': {'total_score': 371.97876822122765, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 32.136714122148156, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 22.8350301617191, 'unit': 'kcal/mol'}}, 'mRMSD': 0.4925753669866085, 'RMSDs': [0.4816955028679059, 0.4676286487582667]}, {'Energy': {'bound': {'total_score': 137.97643853352173, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 148.39030921821444, 'unit': 'kcal/mol'}, 'apo': {'total_score': 111.17377469162243, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 37.21653452659203, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 26.80266384189942, 'unit': 'kcal/mol'}}, 'mRMSD': 0.8738873377741677, 'RMSDs': [1.2150312665798808, 0.7670181566594595]}, {'Energy': {'bound': {'total_score': 386.59158592249184, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 392.2834157142296, 'unit': 'kcal/mol'}, 'apo': {'total_score': 367.48380349918665, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 24.79961221504295, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 19.10778242330547, 'unit': 'kcal/mol'}}, 'mRMSD': 0.4634812662635937, 'RMSDs': [0.44632505944068246, 0.437704404728322]}, {'Energy': {'bound': {'total_score': 164.4005004023993, 'unit': 'kcal/mol'}, 'unbound': {'total_score': 167.66779281454518, 'unit': 'kcal/mol'}, 'apo': {'total_score': 136.4637134265838, 'unit': 'kcal/mol'}, 'ideal': {'total_score': 31.204079387961357, 'unit': 'kcal/mol'}, 'insitu': {'total_score': 27.936786975815497, 'unit': 'kcal/mol'}}, 'mRMSD': 0.8818354128621508, 'RMSDs': [1.223409316746896, 0.7692586243948539]}]"
